The Old Grave-Stone

'In': KPA/TPH
'a': AEU
'house,': HOUS/KW-BG
'with': W
'a': AEU
'large': HRARPBLG
'courtyard,': KORT/KWRARD/KW-BG
'in': TPH
'a': AEU
'provincial': PRO/SREUPBL
'town,': TOUPB/KW-BG
'at': AT
'that': THA
'time': TAOEUPL
'of': -F
'the': -T
'year': KWRAOER
'in': TPH
'which': WEU
'people': PAOEPL
'say': SAEU
'the': -T
'evenings': AOEPBGS
'are': R
'growing': TKPWROEG
'longer,': HRORPBG/KW-BG
'a': AEU
'family': TPAEPL
'circle': SOEURBG
'were': WR
'gathered': TKPWAERD
'together': TOGT
'at': AT
'their': THAEUR
'old': OLD
'home.': HOEPL/TP-PL
'A': KPA/AEU
'lamp': HRAFRP
'burned': PWURPBD
'on': OPB
'the': -T
'table,': TAEUBL/KW-BG
'although': HR*T
'the': -T
'weather': WHR*
'was': WAS
'mild': PHAOEULD
'and': SKP
'warm,': WARPL/KW-BG
'and': SKP
'the': -T
'long': HROPBG
'curtains': KUR/TEUPBS
'hung': HUPBG
'down': TKOUPB
'before': PW-FR
'the': -T
'open': OEP
'windows,': WOEUPBDZ/KW-BG
'and': SKP
'without': WOUT
'the': -T
'moon': PHAOPB
'shone': SHO*EPB
'brightly': PWRAOEULT
'in': TPH
'the': -T
'dark-blue': TKARBG/H-PB/PWHRU
'sky.': SKAOEU/TP-PL
'But': KPA/PWUT
'they': THE
'were': WR
'not': TPHOT
'talking': TAUG
'of': -F
'the': -T
'moon,': PHAOPB/KW-BG
'but': PWUT
'of': -F
'a': AEU
'large,': HRARPBLG/KW-BG
'old': OLD
'stone': STOEPB
'that': THA
'lay': HRAEU
'below': PWHRO
'in': TPH
'the': -T
'courtyard': KORT/KWRARD
'not': TPHOT
'very': SRE
'far': TPAR
'from': TPR
'the': -T
'kitchen': K-FP
'door.': TKAOR/TP-PL
'The': KPA/-T
'maids': PHAEUDZ
'often': OFPB
'laid': HRAEUD
'the': -T
'clean': KHRAOEPB
'copper': KOP/ER
'saucepans': SAUS/PAPB/-S
'and': SKP
'kitchen': K-FP
'vessels': SREFLS
'on': OPB
'this': TH
'stone,': STOEPB/KW-BG
'that': THA
'they': THE
'might': PHAOEUT
'dry': TKRAOEU
'in': TPH
'the': -T
'sun,': SUPB/KW-BG
'and': SKP
'the': -T
'children': KHEURPB
'were': WR
'fond': TPOPBD
'of': -F
'playing': PHRAEUG
'on': OPB
'it.': T/TP-PL
'It': KPA/T
'was,': WAS/KW-BG
'in': TPH
'fact,': TPABGT/KW-BG
'an': APB
'old': OLD
'grave-stone.': TKPWRAEUF/H-PB/STOEPB/TP-PL
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'said': SED
'the': -T
'master': PHAFRT
'of': -F
'the': -T
'house,': HOUS/KW-BG
'"I': KW-GS/EU
'believe': PWHREF
'the': -T
'stone': STOEPB
'came': KAEUPL
'from': TPR
'the': -T
'graveyard': TKPWRAEUF/KWRARD
'of': -F
'the': -T
'old': OLD
'church': KHUFRPB
'of': -F
'the': -T
'convent': KOPB/SREPBT
'which': WEU
'was': WAS
'pulled': PULD
'down,': TKOUPB/KW-BG
'and': SKP
'the': -T
'pulpit,': PUL/PEUT/KW-BG
'the': -T
'monuments,': PHOPB/AOUPLTS/KW-BG
'and': SKP
'the': -T
'grave-stones': TKPWRAEUF/H-PB/STOEPBS
'sold.': SOELD/TP-PL
'My': KPA/PHEU
'father': TPAER
'bought': PWAUT
'the': -T
'latter;': HRART/STPH*FPLT
'most': PHOFT
'of': -F
'them': THEPL
'were': WR
'cut': KUT
'in': TPH
'two': TWO
'and': SKP
'used': AOUFD
'for': TPOR
'paving-stones,': PAEUFG/H-PB/STOEPBS/KW-BG
'but': PWUT
'that': THA
'one': WUPB
'stone': STOEPB
'was': WAS
'preserved': PREFRBD
'whole,': WHOEL/KW-BG
'and': SKP
'laid': HRAEUD
'in': TPH
'the': -T
'courtyard."': KORT/KWRARD/TP-PL/KR-GS
'"Any': KW-GS/KPA*/TPHEU
'one': WUPB
'can': K
'see': SAOE
'that': THA
'it': T
'is': S
'a': AEU
'grave-stone,"': TKPWRAEUF/H-PB/STOEPB/KW-BG/KR-GS
'said': SED
'the': -T
'eldest': ELD/EFT
'of': -F
'the': -T
'children;': KHEURPB/STPH*FPLT
'"the': KW-GS/-T
'representation': REPGS
'of': -F
'an': APB
'hour-glass': HOUR/H-PB/TKPWHRAS
'and': SKP
'part': PART
'of': -F
'the': -T
'figure': TPEUG
'of': -F
'an': APB
'angel': APB/SKWREL
'can': K
'still': STEUL
'be': -B
'traced,': TRAEUFD/KW-BG
'but': PWUT
'the': -T
'inscription': EUPB/SKREUPGS
'beneath': TPHAO*ET
'is': S
'quite': KWAOEUT
'worn': WORPB
'out,': OUT/KW-BG
'excepting': KPEPT/-G
'the': -T
'name': TPHAEUPL
''Preben,'': A*E/P*P/R*/*E/PW*/*EPB/KW-BG/AE
'and': SKP
'a': AEU
'large': HRARPBLG
''S'': A*E/S*P/AE
'close': KHROES
'by': PWEU
'it,': T/KW-BG
'and': SKP
'a': AEU
'little': HREUL
'farther': TPA*RT
'down': TKOUPB
'the': -T
'name': TPHAEUPL
'of': -F
''Martha'': A*E/PHAR/THA/AE
'can': K
'be': -B
'easily': AOELS
'read.': RAED/TP-PL
'But': KPA/PWUT
'nothing': TPHOG
'more,': PHOR/KW-BG
'and': SKP
'even': AOEPB
'that': THA
'cannot': SK-PBT
'be': -B
'seen': SAOEPB
'unless': TPH-LS
'it': T
'has': HAS
'been': PW-PB
'raining,': RAEUPB/-G/KW-BG
'or': OR
'when': WHEPB
'we': WE
'have': SR
'washed': WARBD
'the': -T
'stone."': STOEPB/TP-PL/KR-GS
'"Dear': KW-GS/KPA*/TKAER
'me!': PHE/SKHRAPL
'how': HOU
'singular.': SEUPBG/HRAR/TP-PL
'Why': KPA/KWR
'that': THA
'must': PHUFT
'be': -B
'the': -T
