The Phoenix Bird

'In': KPA/TPH
'the': -T
'Garden': KPA/TKPWA*RPB
'of': -F
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'beneath': TPHAO*ET
'the': -T
'Tree': KPA/TRAOE
'of': -F
'Knowledge,': KPA/TPHOPBLG/KW-BG
'bloomed': PWHRAOPL/-D
'a': AEU
'rose': ROEZ
'bush.': PWURB/TP-PL
'Here,': KPA/HAOER/KW-BG
'in': TPH
'the': -T
'first': TPEUFRT
'rose,': ROEZ/KW-BG
'a': AEU
'bird': PWEURD
'was': WAS
'born.': PWORPB/TP-PL
'His': KPA/HEUS
'flight': TPHRAOEUT
'was': WAS
'like': HRAOEUBG
'the': -T
'flashing': TPHRARBG
'of': -F
'light,': HRAOEUT/KW-BG
'his': HEUS
'plumage': PHRAOUPL/APBLG
'was': WAS
'beauteous,': PWAOUT/KWROUS/KW-BG
'and': SKP
'his': HEUS
'song': SOPBG
'ravishing.': RAF/EURB/-G/TP-PL
'But': KPA/PWUT
'when': WHEPB
'Eve': AOEF
'plucked': PHRUBGD
'the': -T
'fruit': TPRAOUT
'of': -F
'the': -T
'tree': TRAOE
'of': -F
'knowledge': TPHOPBLG
'of': -F
'good': TKPWAOD
'and': SKP
'evil,': AOEFL/KW-BG
'when': WHEPB
'she': SHE
'and': SKP
'Adam': AD/APL
'were': WR
'driven': TKREUFPB
'from': TPR
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'there': THR
'fell': TPEL
'from': TPR
'the': -T
'flaming': TPHRAPLG
'sword': SWORD
'of': -F
'the': -T
'cherub': KHERB
'a': AEU
'spark': SPARBG
'into': TPHAO
'the': -T
'nest': TPHEFT
'of': -F
'the': -T
'bird,': PWEURD/KW-BG
'which': WEU
'blazed': PWHRAEUZ/-D
'up': UP
'forthwith.': TPA*URT/W/TP-PL
'The': KPA/-T
'bird': PWEURD
'perished': PER/EURB/-D
'in': TPH
'the': -T
'flames;': TPHRAEUPLS/STPH*FPLT
'but': PWUT
'from': TPR
'the': -T
'red': RED
'egg': EG
'in': TPH
'the': -T
'nest': TPHEFT
'there': THR
'fluttered': TPHRUT/ERD
'aloft': A/HROFT
'a': AEU
'new': TPHU
'one—the': WUPB/EPL/TKA*RB/-T
'one': WUPB
'solitary': SOL/TAER
'Phoenix': TPAOEPBGS
'bird.': PWEURD/TP-PL
'The': KPA/-T
'fable': TPAEUBL
'tells': TELS
'that': THA
'he': HE
'dwells': TKWEL/-S
'in': TPH
'Arabia,': A/RAEUB/KWRA/KW-BG
'and': SKP
'that': THA
'every': EF
'hundred': HUPBD
'years,': KWRAOERS/KW-BG
'he': HE
'burns': PWURPBS
'himself': HEUPLS
'to': TO
'death': TK*T
'in': TPH
'his': HEUS
'nest;': TPHEFT/STPH*FPLT
'but': PWUT
'each': AOEFP
'time': TAOEUPL
'a': AEU
'new': TPHU
'Phoenix,': TPAOEPBGS/KW-BG
'the': -T
'only': OEPBL
'one': WUPB
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'rises': RAOEUZ/-Z
'up': UP
'from': TPR
'the': -T
'red': RED
'egg.': EG/TP-PL
'The': KPA/-T
'bird': PWEURD
'flutters': TPHRUT/ERS
'round': ROUPBD
'us,': US/KW-BG
'swift': SWEUFT
'as': AS
'light,': HRAOEUT/KW-BG
'beauteous': PWAOUT/KWROUS
'in': TPH
'color,': KROR/KW-BG
'charming': KHARPL/-G
'in': TPH
'song.': SOPBG/TP-PL
'When': KPA/WHEPB
'a': AEU
'mother': PHOER
'sits': SEUTS
'by': PWEU
'her': HER
'infant's': EUPB/TPAPBT/AES
'cradle,': KRAEUD/*L/KW-BG
'he': HE
'stands': STAPBDZ
'on': OPB
'the': -T
'pillow,': PEUL/OE/KW-BG
'and,': SKP/KW-BG
'with': W
'his': HEUS
'wings,': WEUPBGS/KW-BG
'forms': TPORPLS
'a': AEU
'glory': TKPWHROER
'around': ARPBD
'the': -T
'infant's': EUPB/TPAPBT/AES
'head.': HED/TP-PL
'He': KPA/HE
'flies': TPHRAOEUS
'through': THRU
'the': -T
'chamber': KHAEURPL
'of': -F
'content,': KAUPBT/KW-BG
'and': SKP
'brings': PWREUS
'sunshine': SUPB/SHAO*EUPB
'into': TPHAO
'it,': T/KW-BG
'and': SKP
'the': -T
'violets': SROEULT/-S
'on': OPB
'the': -T
'humble': HUPL/-BL
'table': TAEUBL
'smell': SPHEL
'doubly': TKUB/HREU
'sweet.': SWAOET/TP-PL
'But': KPA/PWUT
'the': -T
'Phoenix': TPAOEPBGS
'is': S
'not': TPHOT
'the': -T
'bird': PWEURD
'of': -F
'Arabia': A/RAEUB/KWRA
'alone.': A/HROEPB/TP-PL
'He': KPA/HE
'wings': WEUPBGS
'his': HEUS
'way': WAEU
'in': TPH
'the': -T
'glimmer': TKPWHREURPL
'of': -F
'the': -T
'Northern': TPHORPB
'Lights': KPA/HRAOEUTS
'over': OEFR
'the': -T
'plains': PHRAEUPBS
'of': -F
'Lapland,': KPA/HRAP/HRA*PBD/KW-BG
'and': SKP
'hops': HOPS
'among': PHOPBG
'the': -T
'yellow': KWREL/OE
'flowers': TPHRO*URS
'in': TPH
'the': -T
'short': SHORT
'Greenland': TKPWRAOEPB/HRA*PBD
'summer.': SAOURPL/TP-PL
'Beneath': KPA/TPHAO*ET
'the': -T
'copper': KOP/ER
'mountains': PHOUPB/TAEUPBS
'of': -F
'Fablun,': TP*P/A*/PW*/HR*/SKWRU/*PB/KW-BG
'and': SKP
'England's': TKPWHRAEPBD/AES
'coal': KOEL
'mines,': PHAOEUPBS/KW-BG
'he': HE
'flies,': TPHRAOEUS/KW-BG
'in': TPH
'the': -T
'shape': SHAEUP
'of': -F
'a': AEU
'dusty': TKUS/TEU
'moth,': PHO*T/KW-BG
'over': OEFR
'the': -T
'hymnbook': H*EUPL/PWAO*BG
'that': THA
'rests': REFTS
'on': OPB
'the': -T
'knees': TPHAOEZ
'of': -F
'the': -T
'pious': PAOEU/OUS
'miner.': PHAOEUPB/*ER/TP-PL
'On': KPA/OPB
'a': AEU
'lotus': HROE/TUS
'leaf': HRAOEF
'he': HE
'floats': TPHROETS
'down': TKOUPB
'the': -T
'sacred': SKRED
'waters': WAURS
'of': -F
'the': -T
'Ganges,': TKPWAPBG/ES/KW-BG
'and': SKP
'the': -T
'eye': AOEU
'of': -F
'the': -T
'Hindoo': KPA/HAOEUPBD/SKWRAO
'maid': PHAEUD
'gleams': TKPWHRAOEPL/-S
'bright': PWRAOEUT
'when': WHEPB
'she': SHE
'beholds': PWE/HOLDZ
'him.': HEUPL/TP-PL
'The': KPA/-T
'Phoenix': TPAOEPBGS
'bird,': PWEURD/KW-BG
'dost': TK*/O*/S*/T*
'thou': THO*U
'not': TPHOT
'know': TPHOE
'him?': HEUPL/H-F
'The': KPA/-T
'Bird': KPA/PWEURD
'of': -F
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'the': -T
'holy': HOEUL
'swan': SWAPB
'of': -F
'song!': SOPBG/SKHRAPL
'On': KPA/OPB
'the': -T
'car': KAR
'of': -F
'Thespis': T*P/H*/ES/*P/EUS
'he': HE
'sat': SAT
'in': TPH
'the': -T
'guise': TKPWAOEUZ
'of': -F
'a': AEU
'chattering': KHAERGT
'raven,': RAFPB/KW-BG
'and': SKP
'flapped': TPHRAPD
'his': HEUS
'black': PWHRABG
'wings,': WEUPBGS/KW-BG
'smeared': SPHAOERD
'with': W
'the': -T
'lees': HRAOE/-S
'of': -F
'wine;': WAOEUPB/STPH*FPLT
'over': OEFR
'the': -T
'sounding': SOUPBD/-G
'harp': HARP
'of': -F
'Iceland': AOEUS/HRA*PBD
'swept': SWEPT
'the': -T
'swan's': SWAPB/AES
'red': RED
'beak;': PWAOEBG/STPH*FPLT
'on': OPB
'Shakspeare's': S*P/H*/A*/K*/-S/*P/SKWRE/A*R/SKWRE/AES
'shoulder': SHOURLD
'he': HE
'sat': SAT
'in': TPH
'the': -T
'guise': TKPWAOEUZ
'of': -F
'Odin's': O*P/TK*/*EUPB/AES
'raven,': RAFPB/KW-BG
'and': SKP
'whispered': WHEUS/PERD
'in': TPH
'the': -T
'poet's': POET/AES
'ear': AOER
'"Immortality!"': KW-GS/KPA*/EUPL/POR/TALT/SKHRAPL/KR-GS
'and': SKP
'at': AT
'the': -T
'minstrels'': PHEUPB/STREL/-S/AE
'feast': TPAOEFT
'he': HE
'fluttered': TPHRUT/ERD
'through': THRU
'the': -T
'halls': HAULS
'of': -F
'the': -T
'Wartburg.': KPA/WART/PW*URG/TP-PL
'The': KPA/-T
'Phoenix': TPAOEPBGS
'bird,': PWEURD/KW-BG
'dost': TK*/O*/S*/T*
'thou': THO*U
'not': TPHOT
'know': TPHOE
'him?': HEUPL/H-F
'He': KPA/HE
'sang': SAPBG
'to': TO
'thee': THAOE
'the': -T
'Marseillaise,': PH*P/A*/R*/S*/*E/*EU/HR*/HR*/SKWRA/AOEUZ/A*U/KW-BG
'and': SKP
'thou': THO*U
'kissedst': K*/*EU/S*/S*/*E/TK*/S*/T*
'the': -T
'pen': PEPB
'that': THA
'fell': TPEL
'from': TPR
'his': HEUS
'wing;': WEUPBG/STPH*FPLT
'he': HE
'came': KAEUPL
'in': TPH
'the': -T
'radiance': RAEUD/KWRAPBS
'of': -F
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'and': SKP
'perchance': PER/KHAPBS
'thou': THO*U
'didst': TK*/*EU/TK*/S*/T*
'turn': TURPB
'away': WA*EU
'from': TPR
'him': HEUPL
'towards': TORDZ
'the': -T
'sparrow': SPAEUR/ROE
'who': WHO
'sat': SAT
'with': W
'tinsel': TEUPB/SEL
'on': OPB
'his': HEUS
'wings.': WEUPBGS/TP-PL
'The': KPA/-T
'Bird': KPA/PWEURD
'of': -F
'Paradise—renewed': KPA/PAR/TKAOEUS/EPL/TKA*RB/RE/TPHAOUD
'each': AOEFP
'century—born': KROEURPBT/EPL/TKA*RB/PWORPB
'in': TPH
'flame,': TPHRAEUPL/KW-BG
'ending': EPBGD
'in': TPH
'flame!': TPHRAEUPL/SKHRAPL
'Thy': KPA/THAO*EU
'picture,': P*EUFP/KW-BG
'in': TPH
'a': AEU
'golden': TKPWOELD/*EPB
'frame,': TPRAEUPL/KW-BG
'hangs': HAPBGS
'in': TPH
'the': -T
'halls': HAULS
'of': -F
'the': -T
'rich,': REUFP/KW-BG
'but': PWUT
'thou': THO*U
'thyself': THAOEU/SEFL
'often': OFPB
'fliest': TP*/HR*/KWREFT
'around,': ARPBD/KW-BG
'lonely': HROEPBL
'and': SKP
'disregarded,': TKEUS/RARD/-D/KW-BG
'a': AEU
'myth—"The': PH*EUT/EPL/TKA*RB/KR-GS/KPA*/-T
'Phoenix': TPAOEPBGS
'of': -F
'Arabia."': A/RAEUB/KWRA/TP-PL/KR-GS
'In': KPA/TPH
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'when': WHEPB
'thou': THO*U
'wert': W*/*E/R*/T*
'born': PWORPB
'in': TPH
'the': -T
'first': TPEUFRT
'rose,': ROEZ/KW-BG
'beneath': TPHAO*ET
'the': -T
'Tree': KPA/TRAOE
'of': -F
'Knowledge,': KPA/TPHOPBLG/KW-BG
'thou': THO*U
'receivedst': RE/KR*/*E/*EU/SR*/*E/TK*/S*/T*
'a': AEU
'kiss,': KEUS/KW-BG
'and': SKP
'thy': THAO*EU
'right': RAOEUT
'name': TPHAEUPL
'was': WAS
'given': TKPWEUFPB
