The Puppet-Show Man

'On': KPA/OPB
'board': PWAORD
'a': AEU
'steamer': STAOEPL/*ER
'I': EU
'once': WUPBS
'met': PHET
'an': APB
'elderly': ERLD
'man,': PHAPB/KW-BG
'with': W
'such': SUFP
'a': AEU
'merry': PHER/REU
'face': TPAEUS
'that,': THARBGS
'if': TP
'it': T
'was': WAS
'really': R-L
'an': APB
'index': TKEUPBGS
'of': -F
'his': HEUS
'mind,': PHAOEUPBD/KW-BG
'he': HE
'must': PHUFT
'have': SR
'been': PW-PB
'the': -T
'happiest': HAP/KWREFT
'fellow': TP*EL
'in': TPH
'creation;': KRAEGS/STPH*FPLT
'and': SKP
'indeed': TPHAOEPBD
'he': HE
'considered': KR-D
'himself': HEUPLS
'so,': SO/KW-BG
'for': TPOR
'I': EU
'heard': HAERD
'it': T
'from': TPR
'his': HEUS
'own': OEPB
'mouth.': PHO*UT/TP-PL
'He': KPA/HE
'was': WAS
'a': AEU
'Dane,': TKA*EUPB/KW-BG
'the': -T
'owner': OERPB
'of': -F
'a': AEU
'travelling': TRAFL/HREUPBG
'theatre.': THAO*ERT/TP-PL
'He': KPA/HE
'had': H
'all': AUL
'his': HEUS
'company': K-P
'with': W
'him': HEUPL
'in': TPH
'a': AEU
'large': HRARPBLG
'box,': PWOBGS/KW-BG
'for': TPOR
'he': HE
'was': WAS
'the': -T
'proprietor': PRO/PRAOEU/TOR
'of': -F
'a': AEU
'puppet-show.': PUPT/H-PB/SHOE/TP-PL
'His': KPA/HEUS
'inborn': EUPB/PWORPB
'cheerfulness,': KHAOER/-FL/-PBS/KW-BG
'he': HE
'said,': SED/KW-BG
'had': H
'been': PW-PB
'tested': TEFTD
'by': PWEU
'a': AEU
'member': PHEB
'of': -F
'the': -T
'Polytechnic': KPA/PO*L/TEBG/TPHEUBG
'Institution,': STPHAO*UGS/KW-BG
'and': SKP
'the': -T
'experiment': SPERPLT
'had': H
'made': PHAED
'him': HEUPL
'completely': KPHRAOELT
'happy.': HAEP/TP-PL
'I': EU
'did': TK
'not': TPHOT
'at': AT
'first': TPEUFRT
'understand': URPBD
'all': AUL
'this,': TH/KW-BG
'but': PWUT
'afterwards': A*FRDZ
'he': HE
'explained': SPHRAEUPBD
'the': -T
'whole': WHOEL
'story': STOER
'to': TO
'me;': PHE/STPH*FPLT
'and': SKP
'here': HAOER
'it': T
'is:—': S/STPH-FPLT/EPL/TKA*RB
'"I': KW-GS/EU
'was': WAS
'giving': TKPWEUFG
'a': AEU
'representation,"': REPGS/KW-BG/KR-GS
'he': HE
'said,': SED/KW-BG
'"in': KW-GS/TPH
'the': -T
'hall': HAUL
'of': -F
'the': -T
