The Races

'A': KPA/AEU
'prize,': PRAOEUZ/KW-BG
'or': OR
'rather': RAER
'two': TWO
'prizes,': PRAOEUZ/-Z/KW-BG
'a': AEU
'great': TKPWRAET
'one': WUPB
'and': SKP
'a': AEU
'small': SPHAL
'one,': WUPB/KW-BG
'had': H
'been': PW-PB
'awarded': A/WARD/-D
'for': TPOR
'the': -T
'greatest': TKPWRAET/EFT
'swiftness': SWEUFT/-PBS
'in': TPH
'running,—not': R*UPBG/KW-BG/EPL/TKA*RB/TPHOT
'in': TPH
'a': AEU
'single': SEUPBLG
'race,': RAEUS/KW-BG
'but': PWUT
'for': TPOR
'the': -T
'whole': WHOEL
'year.': KWRAOER/TP-PL
'"I': KW-GS/EU
'obtained': OB/TAEUPBD
'the': -T
'first': TPEUFRT
'prize,"': PRAOEUZ/KW-BG/KR-GS
'said': SED
'the': -T
'hare.': HA*ER/TP-PL
'"Justice': KW-GS/KPA*/SKWRUFS
'must': PHUFT
'still': STEUL
'be': -B
'carried': KAERD
'out,': OUT/KW-BG
'even': AOEPB
'when': WHEPB
'one': WUPB
'has': HAS
'relations': RELGS/-S
'and': SKP
'good': TKPWAOD
'friends': TPREPBDZ
'among': PHOPBG
'the': -T
'prize': PRAOEUZ
'committee;': KPHAOE/STPH*FPLT
'but': PWUT
'that': THA
'the': -T
'snail': STPHAEUL
'should': SHO
'have': SR
'received': SAOEFD
'the': -T
'second': SEBGD
'prize,': PRAOEUZ/KW-BG
'I': EU
'consider': KR
'almost': HR-PL
'an': APB
'insult': EUPB/SULT
'to': TO
'myself."': PHAO*EUS/TP-PL/KR-GS
'"No,"': KW-GS/KPA*/TPHO/KW-BG/KR-GS
'said': SED
'the': -T
'fence-rail,': TPEPBS/H-PB/RAEUL/KW-BG
'who': WHO
'had': H
'been': PW-PB
'a': AEU
'witness': W-PBS
'at': AT
'the': -T
'distribution': TKR-BGS
'of': -F
'prizes;': PRAOEUZ/-Z/STPH*FPLT
'"there': KW-GS/THR
'should': SHO
'be': -B
'some': SOPL
'consideration': K-RGS
'for': TPOR
'industry': STREU
'and': SKP
'perseverance.': PER/SAOEFRPBS/TP-PL
'I': EU
'have': SR
'heard': HAERD
'many': PHAEPB
'respectable': R-PT/-BL
'people': PAOEPL
'say': SAEU
'so,': SO/KW-BG
'and': SKP
'I': EU
'can': K
'quite': KWAOEUT
'understand': URPBD
'it.': T/TP-PL
'The': KPA/-T
'snail': STPHAEUL
'certainly': SERPBL
'took': TAOBG
'half': HAF
'a': AEU
'year': KWRAOER
'to': TO
'get': TKPWET
'over': OEFR
'the': -T
'threshold': THRERBLD
'of': -F
'the': -T
'door;': TKAOR/STPH*FPLT
'but': PWUT
'he': HE
'injured': SKWR-RD
'himself,': HEUPLS/KW-BG
'and': SKP
'broke': PWROEBG
'his': HEUS
'collar-bone': KHRAR/H-PB/PWOEPB
'by': PWEU
'the': -T
'haste': HAEUFT
'he': HE
'made.': PHAED/TP-PL
'He': KPA/HE
'gave': TKPWAEUF
'himself': HEUPLS
'up': UP
