The Red Shoes

'Once': KPA/WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'there': THR
'was': WAS
'little': HREUL
'girl,': TKPWEURL/KW-BG
'pretty': PREUT
'and': SKP
'dainty.': TKAEUPB/TEU/TP-PL
'But': KPA/PWUT
'in': TPH
'summer': SAOURPL
'time': TAOEUPL
'she': SHE
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'go': TKPW
'barefooted': PWAEUR/TPAO*T/-D
'because': PWAU
'she': SHE
'was': WAS
'poor,': PAOR/KW-BG
'and': SKP
'in': TPH
'winter': WEURPBT
'she': SHE
'had': H
'to': TO
'wear': WAER
'large': HRARPBLG
'wooden': WAOD/EPB
'shoes,': SHAOUS/KW-BG
'so': SO
'that': THA
'her': HER
'little': HREUL
'instep': EUPB/STEP
'grew': TKPWRAOU
'quite': KWAOEUT
'red.': RED/TP-PL
'In': KPA/TPH
'the': -T
'middle': PH*EULD
'of': -F
'the': -T
'village': SREULG
'lived': HREUFD
'an': APB
'old': OLD
'shoemaker's': SHAOU/PHA*EURBG/AES
'wife;': WAOEUF/STPH*FPLT
'she': SHE
'sat': SAT
'down': TKOUPB
'and': SKP
'made,': PHAED/KW-BG
'as': AS
'well': WEL
'as': AS
'she': SHE
'could,': KO/KW-BG
'a': AEU
'pair': PAEUR
'of': -F
'little': HREUL
'shoes': SHAOUS
'out': OUT
'of': -F
'some': SOPL
'old': OLD
'pieces': PAOEFS
'of': -F
'red': RED
'cloth.': KHRO*T/TP-PL
'They': KPA/THE
'were': WR
'clumsy,': KHRUPL/SEU/KW-BG
'but': PWUT
'she': SHE
'meant': PHEPBT
'well,': WEL/KW-BG
'for': TPOR
'they': THE
'were': WR
'intended': SPWEPBD/-D
'for': TPOR
'the': -T
'little': HREUL
'girl,': TKPWEURL/KW-BG
'whose': WHOZ
'name': TPHAEUPL
'was': WAS
'Karen.': KAEURPB/TP-PL
'Karen': KAEURPB
'received': SAOEFD
'the': -T
'shoes': SHAOUS
'and': SKP
'wore': WOR
'them': THEPL
'for': TPOR
'the': -T
