The Shadow

'In': KPA/TPH
'very': SRE
'hot': HOT
'climates,': KHRAOEUPLTS/KW-BG
'where': W-R
'the': -T
'heat': HAOET
'of': -F
'the': -T
'sun': SUPB
'has': HAS
'great': TKPWRAET
'power,': POUR/KW-BG
'people': PAOEPL
'are': R
'usually': AOURBL
'as': AS
'brown': PWROUPB
'as': AS
'mahogany;': PHA/HOG/TPHEU/STPH*FPLT
'and': SKP
'in': TPH
'the': -T
'hottest': HOT/EFT
'countries': KUPBTS
'they': THE
'are': R
'negroes,': TPHAOE/TKPWROE/-S/KW-BG
'with': W
'black': PWHRABG
'skins.': SKEUPBS/TP-PL
'A': KPA/AEU
'learned': HRERPBD
'man': PHAPB
'once': WUPBS
'travelled': TRAFL/*LD
'into': TPHAO
'one': WUPB
'of': -F
'these': THEZ
'warm': WARPL
'climates,': KHRAOEUPLTS/KW-BG
'from': TPR
'the': -T
'cold': KOELD
'regions': RAOE/SKWROPBS
'of': -F
'the': -T
'north,': TPHORT/KW-BG
'and': SKP
'thought': THAUT
'he': HE
'would': WO
'roam': ROEPL
'about': PW
'as': AS
'he': HE
'did': TK
'at': AT
'home;': HOEPL/STPH*FPLT
'but': PWUT
'he': HE
'soon': SAOPB
'had': H
'to': TO
'change': KHAEUPBG
'his': HEUS
'opinion.': P-PB/TP-PL
'He': KPA/HE
'found': TPOUPBD
'that,': THARBGS
'like': HRAOEUBG
'all': AUL
'sensible': SEPBS/-BL
'people,': PAOEPL/KW-BG
'he': HE
'must': PHUFT
'remain': RAEUPL
'in': TPH
'the': -T
'house': HOUS
'during': TKURG
'the': -T
'whole': WHOEL
'day,': TKAEU/KW-BG
'with': W
'every': EF
'window': WOEUPBD
'and': SKP
'door': TKAOR
'closed,': KHROEFD/KW-BG
'so': SO
'that': THA
'it': T
'looked': HRAOBGD
'as': AS
'if': TP
'all': AUL
'in': TPH
'the': -T
'house': HOUS
'were': WR
'asleep': A/SHRAOEP
'or': OR
'absent.': AB/SEPBT/TP-PL
'The': KPA/-T
'houses': HO*UFS
'of': -F
'the': -T
'narrow': TPHO*EUR
'street': STRAOET
'in': TPH
'which': WEU
'he': HE
'lived': HREUFD
'were': WR
'so': SO
'lofty': HROF/TEU
'that': THA
'the': -T
'sun': SUPB
'shone': SHO*EPB
'upon': POPB
'them': THEPL
'from': TPR
'morning': PHORPBG
'till': TEUL
'evening,': AOEPBG/KW-BG
'and': SKP
'it': T
'became': PWAEUPL
'quite': KWAOEUT
'unbearable.': UPB/PWAER/-BL/TP-PL
'This': KPA/TH
'learned': HRERPBD
'man': PHAPB
'from': TPR
'the': -T
'cold': KOELD
'regions': RAOE/SKWROPBS
'was': WAS
'young': KWRUPBG
'as': AS
'well': WEL
'as': AS
'clever;': KHREFR/STPH*FPLT
'but': PWUT
'it': T
'seemed': SAOEPLD
'to': TO
'him': HEUPL
'as': AS
'if': TP
'he': HE
'were': WR
'sitting': SEUGT
'in': TPH
'an': APB
'oven,': OEFPB/KW-BG
'and': SKP
'he': HE
'became': PWAEUPL
'quite': KWAOEUT
'exhausted': KPAUFTD
'and': SKP
'weak,': WAEBG/KW-BG
'and': SKP
'grew': TKPWRAOU
'so': SO
'thin': THEUPB
'that': THA
'his': HEUS
'shadow': SHOEUD
'shrivelled': SHR*EUFLD/A*U
'up,': UP/KW-BG
'and': SKP
'became': PWAEUPL
'much': PHUFP
'smaller': SPHAURL
'than': THAPB
'it': T
'had': H
'been': PW-PB
'at': AT
'home.': HOEPL/TP-PL
'The': KPA/-T
'sun': SUPB
'took': TAOBG
'away': WA*EU
'even': AOEPB
'what': WHA
'was': WAS
'left': HREFT
'of': -F
'it,': T/KW-BG
'and': SKP
'he': HE
'saw': SAU
'nothing': TPHOG
'of': -F
'it': T
'till': TEUL
'the': -T
'evening,': AOEPBG/KW-BG
'after': AF
'sunset.': SAUPB/SET/TP-PL
'It': KPA/T
'was': WAS
'really': R-L
'a': AEU
'pleasure,': PHRERB/KW-BG
'as': AS
'soon': SAOPB
'as': AS
'the': -T
'lights': HRAOEUTS
'were': WR
'brought': PWRAUT
'into': TPHAO
'the': -T
'room,': RAOPL/KW-BG
'to': TO
'see': SAOE
'the': -T
'shadow': SHOEUD
'stretch': STREFP
'itself': T/SEFL
'against': TKPWEPBS
'the': -T
'wall,': WAUL/KW-BG
'even': AOEPB
'to': TO
'the': -T
'ceiling,': KAOELG/KW-BG
'so': SO
'tall': TAUL
'was': WAS
'it;': T/STPH*FPLT
'and': SKP
'it': T
'really': R-L
'wanted': WAPBTD
'a': AEU
'good': TKPWAOD
'stretch': STREFP
'to': TO
'recover': ROFR
'its': EUTS
'strength.': STREPBG/TP-PL
'The': KPA/-T
'learned': HRERPBD
'man': PHAPB
'would': WO
'sometimes': STAOEUPLS
'go': TKPW
'out': OUT
'into': TPHAO
'the': -T
'balcony': PWAL/KOEPB
'to': TO
'stretch': STREFP
'himself': HEUPLS
'also;': HR-S/STPH*FPLT
'and': SKP
'as': AS
'soon': SAOPB
'as': AS
'the': -T
'stars': STARS
'came': KAEUPL
'forth': TPO*RT
'in': TPH
'the': -T
'clear,': KHRAOER/KW-BG
'beautiful': PWAOUFL
'sky,': SKAOEU/KW-BG
'he': HE
'felt': TPELT
'revived.': RE/SRAOEUFD/TP-PL
'People': KPA/PAOEPL
'at': AT
'this': TH
'hour': HOUR
'began': TKPWAPB
'to': TO
'make': PHAEUBG
'their': THAEUR
'appearance': PAOERPBS
'in': TPH
'all': AUL
'the': -T
'balconies': PWAL/KOEPB/-S
'in': TPH
'the': -T
'street;': STRAOET/STPH*FPLT
'for': TPOR
'in': TPH
'warm': WARPL
'climates': KHRAOEUPLTS
'every': EF
'window': WOEUPBD
'has': HAS
'a': AEU
'balcony,': PWAL/KOEPB/KW-BG
'in': TPH
'which': WEU
'they': THE
'can': K
'breathe': PWRAO*ET
'the': -T
'fresh': TPRERB
'evening': AOEPBG
'air,': AEUR/KW-BG
'which': WEU
'is': S
'very': SRE
'necessary,': TPHES/KW-BG
'even': AOEPB
'to': TO
'those': THOZ
'who': WHO
'are': R
'used': AOUFD
'to': TO
'a': AEU
'heat': HAOET
'that': THA
'makes': PHAEUBGS
'them': THEPL
'as': AS
'brown': PWROUPB
'as': AS
'mahogany;': PHA/HOG/TPHEU/STPH*FPLT
'so': SO
'that': THA
'the': -T
'street': STRAOET
'presented': PREPBTD
'a': AEU
'very': SRE
'lively': HRAOEUFL
'appearance.': PAOERPBS/TP-PL
'Here': KPA/HAOER
'were': WR
'shoemakers,': SHAOU/PHA*EURBG/-S/KW-BG
'and': SKP
'tailors,': TAEUL/O*RS/KW-BG
'and': SKP
'all': AUL
'sorts': SORTS
'of': -F
'people': PAOEPL
'sitting.': SEUGT/TP-PL
'In': KPA/TPH
'the': -T
'street': STRAOET
'beneath,': TPHAO*ET/KW-BG
'they': THE
'brought': PWRAUT
'out': OUT
'tables': TAEUBLS
'and': SKP
'chairs,': KHAEURS/KW-BG
'lighted': HRAOEUTD
'candles': KAPBD/-LS
'by': PWEU
'hundreds,': HUPBS/KW-BG
'talked': TAUBGD
'and': SKP
'sang,': SAPBG/KW-BG
'and': SKP
'were': WR
'very': SRE
'merry.': PHER/REU/TP-PL
'There': KPA/THR
'were': WR
'people': PAOEPL
'walking,': WAUG/KW-BG
'carriages': KAEURPBLG/-S
'driving,': TKRAOEUFG/KW-BG
'and': SKP
'mules': PHAOUL/-S
'trotting': TROT/-G
'along,': HRAOPBG/KW-BG
'with': W
'their': THAEUR
'bells': PWELS
'on': OPB
'the': -T
'harness,': HARPBS/KW-BG
'"tingle,': KW-GS/TEUPBG/*L/KW-BG
'tingle,"': TEUPBG/*L/KW-BG/KR-GS
'as': AS
'they': THE
'went.': WEPBT/TP-PL
'Then': KPA/THEPB
'the': -T
'dead': TKED
'were': WR
'carried': KAERD
'to': TO
'the': -T
'grave': TKPWRAEUF
'with': W
'the': -T
'sound': SOUPBD
'of': -F
'solemn': SHREPL
'music,': PHAOUFBG/KW-BG
'and': SKP
'the': -T
'tolling': TOL/-G
'of': -F
'the': -T
'church': KHUFRPB
'bells.': PWELS/TP-PL
'It': KPA/T
'was': WAS
'indeed': TPHAOEPBD
'a': AEU
'scene': SAEPB
'of': -F
'varied': SRAERD
'life': HRAOEUF
'in': TPH
'the': -T
'street.': STRAOET/TP-PL
'One': KPA/WUPB
'house': HOUS
'only,': OEPBL/KW-BG
'which': WEU
'was': WAS
'just': SKWRUFT
'opposite': OP/SEUT
'to': TO
'the': -T
'one': WUPB
'in': TPH
'which': WEU
'the': -T
'foreign': TPOERPB
'learned': HRERPBD
'man': PHAPB
'lived,': HREUFD/KW-BG
'formed': TPORPLD
