The Shirt-Collar

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'fine': TPAOEUPB
'gentleman': SKWRA*PL
'who': WHO
'possessed': POS/ES/-D
'among': PHOPBG
'other': OER
'things': THEUPBGS
'a': AEU
'boot-jack': PWAOT/H-PB/SKWRABG
'and': SKP
'a': AEU
'hair-brush;': HAEUR/H-PB/PWRURB/STPH*FPLT
'but': PWUT
'he': HE
'had': H
'also': HR-S
'the': -T
'finest': TPAOEUPB/EFT
'shirt-collar': SHEURT/H-PB/KHRAR
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'of': -F
'this': TH
'collar': KHRAR
'we': WE
'are': R
'about': PW
'to': TO
'hear': HAER
'a': AEU
'story.': STOER/TP-PL
'The': KPA/-T
'collar': KHRAR
'had': H
'become': PW-BG
'so': SO
'old': OLD
'that': THA
'he': HE
'began': TKPWAPB
'to': TO
'think': THEU
'about': PW
'getting': TKPWEGT
'married;': PHAERD/STPH*FPLT
'and': SKP
'one': WUPB
'day': TKAEU
'he': HE
'happened': HAPD
'to': TO
'find': TPAOEUPBD
'himself': HEUPLS
'in': TPH
'the': -T
'same': SAEUPL
'washing-tub': WARBG/H-PB/TUB
'as': AS
'a': AEU
'garter.': TKPWAR/TER/TP-PL
'"Upon': KW-GS/KPA*/POPB
'my': PHEU
'word,"': WORD/KW-BG/KR-GS
'said': SED
'the': -T
'shirt-collar,': SHEURT/H-PB/KHRAR/KW-BG
'"I': KW-GS/EU
'have': SR
'never': TPHEFR
'seen': SAOEPB
'anything': TPHEUG
'so': SO
'slim': SHREUPL
'and': SKP
'delicate,': TKEL/KAT/KW-BG
'so': SO
'neat': TPHAOET
'and': SKP
'soft': SOFT
'before.': PW-FR/TP-PL
'May': PHA*EU
'I': EU
'venture': SREPBT/UR
'to': TO
'ask': SK
'your': KWROUR
'name?"': TPHAEUPL/H-F/KR-GS
'"I': KW-GS/EU
'shall': SHAL
'not': TPHOT
'tell': TEL
'you,"': U/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'garter.': TKPWAR/TER/TP-PL
'"Where': KW-GS/KPA*/W-R
'do': TKO
'you': U
'reside': RE/SAOEUD
'when': WHEPB
'you': U
'are': R
'at': AT
'home?"': HOEPL/H-F/KR-GS
'asked': SK-D
'the': -T
'shirt-collar.': SHEURT/H-PB/KHRAR/TP-PL
'But': KPA/PWUT
'the': -T
'garter': TKPWAR/TER
'was': WAS
'naturally': TPHRARL
'shy,': SHAOEU/KW-BG
'and': SKP
'did': TK
'not': TPHOT
'know': TPHOE
'how': HOU
'to': TO
'answer': AEPBS
'such': SUFP
'a': AEU
'question.': KWE/TP-PL
'"I': KW-GS/EU
'presume': PRAOUPL
'you': U
'are': R
'a': AEU
'girdle,"': TKPWEURD/*L/KW-BG/KR-GS
'said': SED
'the': -T
'shirt-collar,': SHEURT/H-PB/KHRAR/KW-BG
'"a': KW-GS/AEU
'sort': SORT
'of': -F
'under': TPH-PB
'girdle.': TKPWEURD/*L/TP-PL
'I': EU
'see': SAOE
'that': THA
'you': U
'are': R
'useful,': AOUFL/KW-BG
'as': AS
'well': WEL
'as': AS
'ornamental,': ORPB/-PLT/A*L/KW-BG
'my': PHEU
'little': HREUL
'lady."': HRA*ED/TP-PL/KR-GS
'"You': KW-GS/KPA*/U
'must': PHUFT
'not': TPHOT
'speak': SPAOEBG
'to': TO
'me,"': PHE/KW-BG/KR-GS
'said': SED
'the': -T
'garter;': TKPWAR/TER/STPH*FPLT
'"I': KW-GS/EU
'do': TKO
'not': TPHOT
'think': THEU
'I': EU
'have': SR
'given': TKPWEUFPB
'you': U
'any': TPHEU
'encouragement': EPB/KURPBLGT
'to': TO
'do': TKO
'so."': SO/TP-PL/KR-GS
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'when': WHEPB
'any': TPHEU
'one': WUPB
'is': S
'as': AS
'beautiful': PWAOUFL
'as': AS
'you': U
'are,"': R-RBGS/KR-GS
'said': SED
'the': -T
'shirt-collar,': SHEURT/H-PB/KHRAR/KW-BG
'"is': KW-GS/S
'not': TPHOT
'that': THA
'encouragement': EPB/KURPBLGT
'enough?"': TPHUF/H-F/KR-GS
'"Get': KW-GS/KPA*/TKPWET
'away;': WA*EU/STPH*FPLT
'don't': TKOEPBT
'come': KOPL
'so': SO
'near': TPHAOER
'me,"': PHE/KW-BG/KR-GS
'said': SED
'the': -T
'garter,': TKPWAR/TER/KW-BG
'"you': KW-GS/U
'appear': A/PAOER
