The Snowdrop

'It': KPA/T
'was': WAS
'winter-time;': WEURPBT/H-PB/TAOEUPL/STPH*FPLT
'the': -T
'air': AEUR
'was': WAS
'cold,': KOELD/KW-BG
'the': -T
'wind': WEUPBD
'was': WAS
'sharp,': SHARP/KW-BG
'but': PWUT
'within': W-PB
'the': -T
'closed': KHROEFD
'doors': TKAORS
'it': T
'was': WAS
'warm': WARPL
'and': SKP
'comfortable,': K-BL/KW-BG
'and': SKP
'within': W-PB
'the': -T
'closed': KHROEFD
'door': TKAOR
'lay': HRAEU
'the': -T
'flower;': TPHRO*UR/STPH*FPLT
'it': T
'lay': HRAEU
'in': TPH
'the': -T
'bulb': PW*UBL
'under': TPH-PB
'the': -T
'snow-covered': STPHOE/H-PB/KOFRD
'earth.': *ERT/TP-PL
'One': KPA/WUPB
'day': TKAEU
'rain': RAEUPB
'fell.': TPEL/TP-PL
'The': KPA/-T
'drops': TKROPS
'penetrated': PEPB/TRAEUTD
'through': THRU
'the': -T
'snowy': STPHOE/WEU
'covering': KOFRG
'down': TKOUPB
'into': TPHAO
'the': -T
'earth,': *ERT/KW-BG
'and': SKP
'touched': TUFPD
'the': -T
'flower-bulb,': TPHRO*UR/H-PB/PW*UBL/KW-BG
'and': SKP
'talked': TAUBGD
'of': -F
'the': -T
'bright': PWRAOEUT
'world': WORLD
'above.': PWOF/TP-PL
'Soon': KPA/SAOPB
'the': -T
'Sunbeam': KPA/SUPB/PWAOEPL
'pierced': PAOERS/-D
'its': EUTS
'way': WAEU
'through': THRU
'the': -T
'snow': STPHOE
'to': TO
'the': -T
'root,': RAOT/KW-BG
'and': SKP
'within': W-PB
'the': -T
'root': RAOT
'there': THR
'was': WAS
'a': AEU
'stirring.': STEURG/TP-PL
'"Come': KW-GS/KPA*/KOPL
'in,"': TPH/KW-BG/KR-GS
'said': SED
'the': -T
'flower.': TPHRO*UR/TP-PL
'"I': KW-GS/EU
'cannot,"': SK-PBT/KW-BG/KR-GS
'said': SED
'the': -T
'Sunbeam.': KPA/SUPB/PWAOEPL/TP-PL
'"I': KW-GS/EU
'am': APL
'not': TPHOT
'strong': STROPBG
'enough': TPHUF
'to': TO
'unlock': UPB/HROBG
'the': -T
'door!': TKAOR/SKHRAPL
'When': KPA/WHEPB
'the': -T
'summer': SAOURPL
'comes': KOPLS
'I': EU
'shall': SHAL
'be': -B
'strong!"': STROPBG/SKHRAPL/KR-GS
'"When': KW-GS/KPA*/WHEPB
'will': HR
'it': T
'be': -B
'summer?"': SAOURPL/H-F/KR-GS
'asked': SK-D
'the': -T
'Flower,': KPA/TPHRO*UR/KW-BG
'and': SKP
'she': SHE
'repeated': RE/PAOETD
'this': TH
'question': KWE
'each': AOEFP
'time': TAOEUPL
'a': AEU
'new': TPHU
'sunbeam': SUPB/PWAOEPL
'made': PHAED
'its': EUTS
'way': WAEU
'down': TKOUPB
'to': TO
'her.': HER/TP-PL
'But': KPA/PWUT
'the': -T
'summer': SAOURPL
'was': WAS
'yet': KWRET
'far': TPAR
'distant.': STKAPBT/TP-PL
'The': KPA/-T
'snow': STPHOE
'still': STEUL
'lay': HRAEU
'upon': POPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'and': SKP
'there': THR
'was': WAS
'a': AEU
'coat': KOET
'of': -F
'ice': AOEUS
'on': OPB
'the': -T
'water': WAUR
'every': EF
'night.': TPHAOEUT/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'long': HROPBG
'time': TAOEUPL
'it': T
'takes!': TAEUBGS/SKHRAPL
'what': WHA
'a': AEU
'long': HROPBG
'time': TAOEUPL
'it': T
'takes!"': TAEUBGS/SKHRAPL/KR-GS
'said': SED
'the': -T
'Flower.': KPA/TPHRO*UR/TP-PL
'"I': KW-GS/EU
'feel': TPAOEL
'a': AEU
'stirring': STEURG
'and': SKP
'striving': STRAOEUFG
'within': W-PB
'me;': PHE/STPH*FPLT
'I': EU
'must': PHUFT
'stretch': STREFP
'myself,': PHAO*EUS/KW-BG
'I': EU
'must': PHUFT
'unlock': UPB/HROBG
'the': -T
'door,': TKAORBGS
'I': EU
'must': PHUFT
'get': TKPWET
'out,': OUT/KW-BG
'and': SKP
'must': PHUFT
'nod': TPHOD
'a': AEU
'good': TKPWAOD
'morning': PHORPBG
'to': TO
'the': -T
'summer,': SAOURPL/KW-BG
'and': SKP
'what': WHA
'a': AEU
'happy': HAEP
'time': TAOEUPL
'that': THA
'will': HR
'be!"': -B/SKHRAPL/KR-GS
'And': AFPBD
'the': -T
'Flower': KPA/TPHRO*UR
'stirred': STEURD
'and': SKP
'stretched': STREFPD
'itself': T/SEFL
'within': W-PB
'the': -T
'thin': THEUPB
'rind': RAOEUPBD
'which': WEU
'the': -T
'water': WAUR
'had': H
'softened': SOFPB/-D
'from': TPR
'without,': WOUT/KW-BG
'and': SKP
'the': -T
'snow': STPHOE
'and': SKP
'the': -T
'earth': *ERT
'had': H
'warmed,': WARPLD/KW-BG
'and': SKP
'the': -T
'Sunbeam': KPA/SUPB/PWAOEPL
'had': H
'knocked': TPHOBGD
'at;': AT/STPH*FPLT
'and': SKP
'it': T
'shot': SHOT
'forth': TPO*RT
'under': TPH-PB
'the': -T
'snow': STPHOE
'with': W
'a': AEU
'greenish-white': TKPWRAOEPB/EURB/H-PB/WHAOEUT
'blossom': PWHROFPL
'on': OPB
'a': AEU
'green': TKPWRAOEPB
'stalk,': STAUBG/KW-BG
'with': W
'narrow': TPHO*EUR
'thick': THEUBG
'leaves,': HREFS/KW-BG
'which': WEU
'seemed': SAOEPLD
'to': TO
'want': WAPBT
'to': TO
'protect': PREBGT
'it.': T/TP-PL
'The': KPA/-T
'snow': STPHOE
'was': WAS
'cold,': KOELD/KW-BG
'but': PWUT
'was': WAS
'pierced': PAOERS/-D
'by': PWEU
'the': -T
'Sunbeam,': KPA/SUPB/PWAOEPL/KW-BG
'therefore': TH-FR
'it': T
'was': WAS
'easy': EZ
'to': TO
'get': TKPWET
'through': THRU
'it,': T/KW-BG
'and': SKP
'now': TPHOU
'the': -T
'Sunbeam': KPA/SUPB/PWAOEPL
'came': KAEUPL
'with': W
'greater': TKPWRAERT
'strength': STREPBG
'than': THAPB
'before.': PW-FR/TP-PL
'"Welcome,': KW-GS/KPA*/WELG/KW-BG
'welcome!"': WELG/SKHRAPL/KR-GS
'sang': SAPBG
'and': SKP
'sounded': SOUPBD/-D
'every': EF
'ray,': RAEU/KW-BG
'and': SKP
'the': -T
'Flower': KPA/TPHRO*UR
'lifted': HREUFTD
'itself': T/SEFL
'up': UP
'over': OEFR
'the': -T
'snow': STPHOE
'into': TPHAO
'the': -T
'brighter': PWRAOEURT
'world.': WORLD/TP-PL
'The': KPA/-T
'Sunbeams': KPA/SUPB/PWAOEPL/-S
'caressed': KA/RES/-D
'and': SKP
'kissed': K*EUFD
'it,': T/KW-BG
'so': SO
'that': THA
'it': T
'opened': OEPD
'altogether,': HR-GT/KW-BG
'white': WHAOEUT
'as': AS
'snow,': STPHOE/KW-BG
'and': SKP
'ornamented': ORPB/*PLT/-D
'with': W
'green': TKPWRAOEPB
'stripes.': STRAOEUPS/TP-PL
'It': KPA/T
'bent': PWEPBT
'its': EUTS
'head': HED
'in': TPH
'joy': SKWROEU
'and': SKP
'humility.': HAOUPL/EULT/TP-PL
'"Beautiful': KW-GS/KPA*/PWAOUFL
'Flower!"': KPA/TPHRO*UR/SKHRAPL/KR-GS
'said': SED
'the': -T
'Sunbeams,': KPA/SUPB/PWAOEPL/-S/KW-BG
'"how': KW-GS/HOU
'graceful': TKPWRAEUS/-FL
'and': SKP
'delicate': TKEL/KAT
'you': U
'are!': R/SKHRAPL
'You': KPA/U
'are': R
'the': -T
'first,': TPEUFRT/KW-BG
'you': U
'are': R
'the': -T
'only': OEPBL
'one!': WUPB/SKHRAPL
'You': KPA/U
'are': R
'our': OUR
'love!': HRUF/SKHRAPL
'You': KPA/U
'are': R
'the': -T
'bell': PWEL
'that': THA
'rings': REUPBGS
'out': OUT
'for': TPOR
'summer,': SAOURPL/KW-BG
'beautiful': PWAOUFL
'summer,': SAOURPL/KW-BG
'over': OEFR
'country': KREU
'and': SKP
'town.': TOUPB/TP-PL
'All': KPA/AUL
'the': -T
'snow': STPHOE
'will': HR
'melt;': PHELT/STPH*FPLT
'the': -T
'cold': KOELD
'winds': WEUPBDZ
'will': HR
'be': -B
'driven': TKREUFPB
'away;': WA*EU/STPH*FPLT
'we': WE
'shall': SHAL
'rule;': RAOUL/STPH*FPLT
'all': AUL
'will': HR
'become': PW-BG
'green,': TKPWRAOEPB/KW-BG
'and': SKP
'then': THEPB
'you': U
'will': HR
'have': SR
'companions,': KPAPB/KWROPBS/KW-BG
'syringas,': S*/KWR*/R*/-G/SKWRA/-S/KW-BG
'laburnums,': HR*/A*/PW*/*U/R*/*PB/*UPL/-S/KW-BG
'and': SKP
'roses;': ROES/-S/STPH*FPLT
'but': PWUT
'you': U
'are': R
'the': -T
'first,': TPEUFRT/KW-BG
'so': SO
'graceful,': TKPWRAEUS/-FL/KW-BG
'so': SO
'delicate!"': TKEL/KAT/SKHRAPL/KR-GS
'That': KPA/THA
'was': WAS
'a': AEU
'great': TKPWRAET
'pleasure.': PHRERB/TP-PL
'It': KPA/T
'seemed': SAOEPLD
'as': AS
'if': TP
'the': -T
'air': AEUR
'were': WR
'singing': SEUPBG/-G
'and': SKP
'sounding,': SOUPBD/-G/KW-BG
'as': AS
'if': TP
'rays': RA*ES
'of': -F
'light': HRAOEUT
'were': WR
'piercing': PAOERS/-G
'through': THRU
'the': -T
'leaves': HREFS
'and': SKP
'the': -T
'stalks': STAUBGS
'of': -F
'the': -T
'Flower.': KPA/TPHRO*UR/TP-PL
'There': KPA/THR
'it': T
'stood,': STAOD/KW-BG
'so': SO
'delicate': TKEL/KAT
'and': SKP
'so': SO
'easily': AOELS
'broken,': PWROEPB/KW-BG
'and': SKP
'yet': KWRET
'so': SO
'strong': STROPBG
'in': TPH
'its': EUTS
'young': KWRUPBG
'beauty;': PWAOUT/STPH*FPLT
'it': T
'stood': STAOD
'there': THR
'in': TPH
'its': EUTS
'white': WHAOEUT
'dress': TKRES
'with': W
'the': -T
'green': TKPWRAOEPB
'stripes,': STRAOEUPS/KW-BG
'and': SKP
'made': PHAED
'a': AEU
'summer.': SAOURPL/TP-PL
'But': KPA/PWUT
'there': THR
'was': WAS
'a': AEU
'long': HROPBG
'time': TAOEUPL
'yet': KWRET
'to': TO
'the': -T
'summer-time.': SAOURPL/H-PB/TAOEUPL/TP-PL
'Clouds': KPA/KHROUDZ
'hid': HEUD
'the': -T
'sun,': SUPB/KW-BG
'and': SKP
'bleak': PWHRAEBG
'winds': WEUPBDZ
