The Storks

'On': KPA/OPB
'the': -T
'last': HRAFT
'house': HOUS
'in': TPH
'a': AEU
'little': HREUL
'village': SREULG
'the': -T
'storks': STORBG/-S
'had': H
'built': PWEULT
'a': AEU
'nest,': TPHEFT/KW-BG
'and': SKP
'the': -T
'mother': PHOER
'stork': STORBG
'sat': SAT
'in': TPH
'it': T
'with': W
'her': HER
'four': TPOUR
'young': KWRUPBG
'ones,': WUPBZ/KW-BG
'who': WHO
'stretched': STREFPD
'out': OUT
'their': THAEUR
'necks': TPHEBG/-S
'and': SKP
'pointed': POEUPBTD
'their': THAEUR
'black': PWHRABG
'beaks,': PWAOEBG/-S/KW-BG
'which': WEU
'had': H
'not': TPHOT
'yet': KWRET
'turned': TURPBD
'red': RED
'like': HRAOEUBG
'those': THOZ
'of': -F
'the': -T
'parent': PARPBT
'birds.': PWEURDZ/TP-PL
'A': KPA/AEU
'little': HREUL
'way': WAEU
'off,': OF/KW-BG
'on': OPB
'the': -T
'edge': EPBLG
'of': -F
'the': -T
'roof,': RAOF/KW-BG
'stood': STAOD
'the': -T
'father': TPAER
'stork,': STORBG/KW-BG
'quite': KWAOEUT
'upright': AUP/RAOEUGT
'and': SKP
'stiff;': STEUF/STPH*FPLT
'not': TPHOT
'liking': HRAO*EUG
'to': TO
'be': -B
'quite': KWAOEUT
'idle,': AOEUD/*L/KW-BG
'he': HE
'drew': TKRAOU
'up': UP
'one': WUPB
'leg,': HREG/KW-BG
'and': SKP
'stood': STAOD
'on': OPB
'the': -T
'other,': OER/KW-BG
'so': SO
'still': STEUL
'that': THA
'it': T
'seemed': SAOEPLD
'almost': HR-PL
'as': AS
'if': TP
'he': HE
'were': WR
'carved': KAFRBD
'in': TPH
'wood.': WAOD/TP-PL
'"It': KW-GS/KPA*/T
'must': PHUFT
'look': HRAOBG
'very': SRE
'grand,"': TKPWRAPBD/KW-BG/KR-GS
'thought': THAUT
'he,': HE/KW-BG
'"for': KW-GS/TPOR
'my': PHEU
'wife': WAOEUF
'to': TO
'have': SR
'a': AEU
'sentry': SEPBT/REU
'guarding': TKPWARD/-G
'her': HER
'nest.': TPHEFT/TP-PL
'They': KPA/THE
'do': TKO
'not': TPHOT
'know': TPHOE
'that': THA
'I': EU
'am': APL
'her': HER
'husband;': HUS/STPH*FPLT
'they': THE
'will': HR
'think': THEU
'I': EU
'have': SR
'been': PW-PB
'commanded': KPHAPBD/-D
'to': TO
'stand': STAPBD
'here,': HAOERBGS
'which': WEU
'is': S
'quite': KWAOEUT
'aristocratic;"': A/REUFT/KRAT/EUBG/STPH*FPLT/KR-GS
'and': SKP
'so': SO
'he': HE
'continued': T-PBD
'standing': STAPBG
'on': OPB
'one': WUPB
'leg.': HREG/TP-PL
'In': KPA/TPH
'the': -T
'street': STRAOET
'below': PWHRO
'were': WR
'a': AEU
'number': TPHUPL
'of': -F
'children': KHEURPB
'at': AT
'play,': PHRAEU/KW-BG
'and': SKP
'when': WHEPB
'they': THE
'caught': KAUT
'sight': SAOEUT
'of': -F
'the': -T
'storks,': STORBG/-S/KW-BG
'one': WUPB
'of': -F
'the': -T
'boldest': PWOLD/EFT
'amongst': PHOPBGS
'the': -T
'boys': PWOEUS
'began': TKPWAPB
'to': TO
'sing': SEUPBG
'a': AEU
'song': SOPBG
'about': PW
'them,': THEPL/KW-BG
'and': SKP
'very': SRE
'soon': SAOPB
'he': HE
'was': WAS
'joined': SKWROEUPBD
'by': PWEU
'the': -T
'rest.': REFT/TP-PL
'These': KPA/THEZ
'are': R
'the': -T
'words': WORDZ
'of': -F
'the': -T
'song,': SOPBG/KW-BG
'but': PWUT
'each': AOEFP
'only': OEPBL
'sang': SAPBG
'what': WHA
'he': HE
'could': KO
'remember': RER
'of': -F
'them': THEPL
'in': TPH
'his': HEUS
'own': OEPB
'way.': WAEU/TP-PL
'"Stork,': KW-GS/KPA*/STORBG/KW-BG
'stork,': STORBG/KW-BG
'fly': TPHRAOEU
'away,': WA*EU/KW-BG
'Stand': KPA/STAPBD
'not': TPHOT
'on': OPB
'one': WUPB
'leg,': HREG/KW-BG
'I': EU
'pray,': PRAEU/KW-BG
'See': KPA/SAOE
'your': KWROUR
'wife': WAOEUF
'is': S
'in': TPH
'her': HER
'nest,': TPHEFT/KW-BG
'With': KPA/W
'her': HER
'little': HREUL
'ones': WUPBZ
'at': AT
'rest.': REFT/TP-PL
'They': KPA/THE
'will': HR
'hang': HAPBG
'one,': WUPB/KW-BG
'And': AFPBD
'fry': TPRAOEU
'another;': TPHOER/STPH*FPLT
'They': KPA/THE
'will': HR
'shoot': SHAOT
'a': AEU
'third,': THEURD/KW-BG
'And': AFPBD
'roast': ROEFT
'his': HEUS
'brother."': PWROER/TP-PL/KR-GS
'"Just': KW-GS/KPA*/SKWRUFT
'hear': HAER
'what': WHA
'those': THOZ
'boys': PWOEUS
'are': R
'singing,"': SEUPBG/-G/KW-BG/KR-GS
'said': SED
'the': -T
'young': KWRUPBG
'storks;': STORBG/-S/STPH*FPLT
'"they': KW-GS/THE
'say': SAEU
'we': WE
'shall': SHAL
'be': -B
'hanged': HAPBG/-D
'and': SKP
'roasted."': ROEFT/-D/TP-PL/KR-GS
'"Never': KW-GS/KPA*/TPHEFR
'mind': PHAOEUPBD
'what': WHA
'they': THE
'say;': SAEU/STPH*FPLT
'you': U
'need': TPHAOED
'not': TPHOT
'listen,"': HREUFPB/KW-BG/KR-GS
'said': SED
'the': -T
'mother.': PHOER/TP-PL
'"They': KW-GS/KPA*/THE
'can': K
'do': TKO
'no': TPHO
'harm."': HARPL/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'boys': PWOEUS
'went': WEPBT
'on': OPB
'singing': SEUPBG/-G
'and': SKP
'pointing': POEUPBGT
'at': AT
'the': -T
'storks,': STORBG/-S/KW-BG
'and': SKP
'mocking': PHOBG/-G
'at': AT
'them,': THEPL/KW-BG
'excepting': KPEPT/-G
'one': WUPB
'of': -F
'the': -T
'boys': PWOEUS
'whose': WHOZ
'name': TPHAEUPL
'was': WAS
'Peter;': PAOERT/STPH*FPLT
'he': HE
'said': SED
'it': T
'was': WAS
'a': AEU
'shame': SHAEUPL
'to': TO
'make': PHAEUBG
'fun': TPUPB
'of': -F
'animals,': PHAPBLS/KW-BG
'and': SKP
'would': WO
'not': TPHOT
'join': SKWROEUPB
'with': W
'them': THEPL
'at': AT
'all.': AUL/TP-PL
'The': KPA/-T
'mother': PHOER
'stork': STORBG
'comforted': K-FRTD
'her': HER
'young': KWRUPBG
'ones,': WUPBZ/KW-BG
'and': SKP
'told': TOLD
'them': THEPL
'not': TPHOT
'to': TO
'mind.': PHAOEUPBD/TP-PL
'"See,"': KW-GS/KPA*/SAOE/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"How': KW-GS/KPA*/HOU
'quiet': KWAO*EUT
'your': KWROUR
'father': TPAER
'stands,': STAPBDZ/KW-BG
'although': HR*T
'he': HE
'is': S
'only': OEPBL
'on': OPB
'one': WUPB
'leg."': HREG/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'we': WE
'are': R
'very': SRE
'much': PHUFP
'frightened,"': TPRAOEUFPBD/KW-BG/KR-GS
'said': SED
'the': -T
'young': KWRUPBG
'storks,': STORBG/-S/KW-BG
'and': SKP
'they': THE
'drew': TKRAOU
'back': PWABG
'their': THAEUR
'heads': HEDZ
'into': TPHAO
'the': -T
'nests.': TPHEFT/-S/TP-PL
'The': KPA/-T
'next': TPHEGT
'day': TKAEU
'when': WHEPB
'the': -T
'children': KHEURPB
'were': WR
'playing': PHRAEUG
'together,': TOGT/KW-BG
'and': SKP
'saw': SAU
'the': -T
'storks,': STORBG/-S/KW-BG
'they': THE
'sang': SAPBG
'the': -T
'song': SOPBG
'again—': TKPWEPB/EPL/TKA*RB
'"They': KW-GS/KPA*/THE
'will': HR
'hang': HAPBG
'one,': WUPB/KW-BG
'And': AFPBD
'roast': ROEFT
'another."': TPHOER/TP-PL/KR-GS
'"Shall': KW-GS/KPA*/SHAL
'we': WE
'be': -B
'hanged': HAPBG/-D
'and': SKP
'roasted?"': ROEFT/-D/H-F/KR-GS
'asked': SK-D
'the': -T
'young': KWRUPBG
'storks.': STORBG/-S/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'certainly': SERPBL
'not,"': TPHOT/KW-BG/KR-GS
'said': SED
'the': -T
'mother.': PHOER/TP-PL
'"I': KW-GS/EU
'will': HR
'teach': TAOEFP
'you': U
'to': TO
'fly,': TPHRAOEU/KW-BG
'and': SKP
'when': WHEPB
'you': U
'have': SR
'learnt,': HRERPBT/KW-BG
'we': WE
'will': HR
'fly': TPHRAOEU
'into': TPHAO
'the': -T
'meadows,': PHED/OES/KW-BG
