The Swan's Nest

'Between': KPA/TWAOEPB
'the': -T
'Baltic': PWALT/EUBG
'and': SKP
'the': -T
'North': TPHOERT
'Sea': KPA/SAE
'there': THR
'lies': HRAO*EUS
'an': APB
'old': OLD
'swan's': SWAPB/AES
'nest,': TPHEFT/KW-BG
'wherein': WR-PB
'swans': SWAPBS
'are': R
'born': PWORPB
'and': SKP
'have': SR
'been': PW-PB
'born': PWORPB
'that': THA
'shall': SHAL
'never': TPHEFR
'die.': TKAOEU/TP-PL
'In': KPA/TPH
'olden': OLD/*EPB
'times': TAOEUPLS
'a': AEU
'flock': TPHROBG
'of': -F
'swans': SWAPBS
'flew': TPHRAOU
'over': OEFR
'the': -T
'Alps': AL/-PS
'to': TO
'the': -T
'green': TKPWRAOEPB
'plains': PHRAEUPBS
'around': ARPBD
'Milan,': PHEUL/A*PB/KW-BG
'where': W-R
'it': T
'was': WAS
'delightful': TKHRAOEUT/-FL
'to': TO
'dwell.': TKWEL/TP-PL
'This': KPA/TH
'flight': TPHRAOEUT
'of': -F
'swans': SWAPBS
'men': PHEPB
'called': KAULD
'the': -T
'Lombards.': HROPL/PWARD/-S/TP-PL
'Another': KPA/TPHOER
'flock,': TPHROBG/KW-BG
'with': W
'shining': SHAOEUPBG
'plumage': PHRAOUPL/APBLG
'and': SKP
'honest': HOPBS
'eyes,': AO*EUS/KW-BG
'soared': SAORD
'southward': SO*UT/WARD
'to': TO
'Byzantium;': PWEUZ/APBT/KWRUPL/STPH*FPLT
'the': -T
'swans': SWAPBS
'established': STAEBD
'themselves': TH*EPLS
'there': THR
'close': KHROES
'by': PWEU
'the': -T
'Emperor's': KPA/EPL/ROR/AES
'throne,': THRO*EPB/KW-BG
'and': SKP
'spread': SPRED
'their': THAEUR
'wings': WEUPBGS
'over': OEFR
'him': HEUPL
'as': AS
'shields': SHAOELDZ
'to': TO
'protect': PREBGT
'him.': HEUPL/TP-PL
'They': KPA/THE
'received': SAOEFD
'the': -T
