The Swineherd

'Once': KPA/WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'lived': HREUFD
'a': AEU
'poor': PAOR
'prince;': PREUPBS/STPH*FPLT
'his': HEUS
'kingdom': KEUPBG/TKOPL
'was': WAS
'very': SRE
'small,': SPHAL/KW-BG
'but': PWUT
'it': T
'was': WAS
'large': HRARPBLG
'enough': TPHUF
'to': TO
'enable': TPHAEUBL
'him': HEUPL
'to': TO
'marry,': PHAER/KW-BG
'and': SKP
'marry': PHAER
'he': HE
'would.': WO/TP-PL
'It': KPA/T
'was': WAS
'rather': RAER
'bold': PWOLD
'of': -F
'him': HEUPL
'that': THA
'he': HE
'went': WEPBT
'and': SKP
'asked': SK-D
'the': -T
'emperor's': EPL/ROR/AES
'daughter:': TKAUR/STPH-FPLT
'"Will': KW-GS/W*EUL
'you': U
'marry': PHAER
'me?"': PHE/H-F/KR-GS
'but': PWUT
'he': HE
'ventured': SRERPBTD
'to': TO
'do': TKO
'so,': SO/KW-BG
'for': TPOR
'his': HEUS
'name': TPHAEUPL
'was': WAS
'known': TPHOEPB
'far': TPAR
'and': SKP
'wide,': WAOEUD/KW-BG
'and': SKP
'there': THR
'were': WR
'hundreds': HUPBS
'of': -F
'princesses': PREUPB/SES/-S
'who': WHO
'would': WO
'have': SR
'gladly': TKPWHRAD/HREU
'accepted': SEPD
'him,': HEUPL/KW-BG
'but': PWUT
'would': WO
'she': SHE
'do': TKO
'so?': SO/H-F
'Now': KPA/TPHOU
'we': WE
'shall': SHAL
'see.': SAOE/TP-PL
'On': KPA/OPB
'the': -T
'grave': TKPWRAEUF
'of': -F
'the': -T
'prince's': PREUPBS/AES
'father': TPAER
'grew': TKPWRAOU
'a': AEU
'rose-tree,': ROEZ/H-PB/TRAOE/KW-BG
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'of': -F
'its': EUTS
'kind.': KEUPBD/TP-PL
'It': KPA/T
'bloomed': PWHRAOPL/-D
'only': OEPBL
'once': WUPBS
'in': TPH
'five': TPAOEUF
'years,': KWRAOERS/KW-BG
'and': SKP
'then': THEPB
'it': T
'had': H
'only': OEPBL
'one': WUPB
'single': SEUPBLG
'rose': ROEZ
'upon': POPB
'it,': T/KW-BG
'but': PWUT
'what': WHA
'a': AEU
'rose!': ROEZ/SKHRAPL
'It': KPA/T
'had': H
'such': SUFP
'a': AEU
'sweet': SWAOET
'scent': SKEPBT
'that': THA
'one': WUPB
'instantly': EUPB/STAPBT/HREU
'forgot': TPAURGT
'all': AUL
'sorrow': SROE
'and': SKP
'grief': TKPWRAOEF
'when': WHEPB
'one': WUPB
'smelt': SPHELT
'it.': T/TP-PL
'He': KPA/HE
'had': H
'also': HR-S
'a': AEU
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'which': WEU
'could': KO
'sing': SEUPBG
'as': AS
'if': TP
'every': EF
'sweet': SWAOET
'melody': PHEL/TKEU
'was': WAS
'in': TPH
'its': EUTS
'throat.': THROET/TP-PL
'This': KPA/TH
'rose': ROEZ
'and': SKP
'the': -T
'nightingale': TPHAOEUT/-G/TKPWAEL
'he': HE
'wished': WEURBD
'to': TO
'give': TKPWEUF
'to': TO
'the': -T
'princess;': PREUPB/SES/STPH*FPLT
'and': SKP
'therefore': TH-FR
'both': PWO*T
'were': WR
'put': PUT
'into': TPHAO
'big': PWEUG
'silver': SEUL/SRER
'cases': KAEUSZ
'and': SKP
'sent': SEPBT
'to': TO
'her.': HER/TP-PL
'The': KPA/-T
'emperor': EPL/ROR
'ordered': ORD/-D
'them': THEPL
'to': TO
'be': -B
'carried': KAERD
'into': TPHAO
'the': -T
'great': TKPWRAET
'hall': HAUL
'where': W-R
'the': -T
'princess': PREUPB/SES
'was': WAS
'just': SKWRUFT
'playing': PHRAEUG
'"Visitors': KW-GS/KPA*/SREUS/TORS
'are': R
'coming"': KO*G/KR-GS
'with': W
'her': HER
'ladies-in-waiting;': HRAEUDZ/H-PB/TPH/H-PB/WAEUGT/STPH*FPLT
'when': WHEPB
'she': SHE
'saw': SAU
'the': -T
'large': HRARPBLG
'cases': KAEUSZ
'with': W
'the': -T
'presents': PREPBTS
'therein,': THR-PB/KW-BG
'she': SHE
'clapped': KHRAP/-D
'her': HER
'hands': HAPBDZ
'for': TPOR
'joy.': SKWROEU/TP-PL
'"I': KW-GS/EU
'wish': WEURB
'it': T
'were': WR
'a': AEU
'little': HREUL
'pussy': PUS/KWREU
'cat,"': KAT/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'But': KPA/PWUT
'then': THEPB
'the': -T
'rose-tree': ROEZ/H-PB/TRAOE
'with': W
'the': -T
'beautiful': PWAOUFL
'rose': ROEZ
'was': WAS
'unpacked.': UPB/PABGD/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'how': HOU
'nicely': TPHAOEULS
'it': T
'is': S
'made,"': PHAED/KW-BG/KR-GS
'exclaimed': SKHRAEUPLD
'the': -T
'ladies.': HRAEUDZ/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'more': PHOR
'than': THAPB
'nice,"': TPHAOEUS/KW-BG/KR-GS
'said': SED
'the': -T
'emperor,': EPL/ROR/KW-BG
'"it': KW-GS/T
'is': S
'charming."': KHARPL/-G/TP-PL/KR-GS
'The': KPA/-T
'princess': PREUPB/SES
'touched': TUFPD
'it': T
'and': SKP
'nearly': TPHAOERL
'began': TKPWAPB
'to': TO
'cry.': KRAOEU/TP-PL
'"For': KW-GS/KPA*/TPOR
'shame,': SHAEUPL/KW-BG
'pa,"': HRO*ER/PA/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"it': KW-GS/T
'is': S
'not': TPHOT
'artificial,': TPHR*EURBL/KW-BG
'it': T
'is': S
'natural!"': TPHARL/SKHRAPL/KR-GS
'"For': KW-GS/KPA*/TPOR
'shame,': SHAEUPL/KW-BG
'it': T
'is': S
