The Tinder-Box

'A': KPA/AEU
'soldier': SHRERPBLG
'came': KAEUPL
'marching': PHAFRPB/-G
'along': HRAOPBG
'the': -T
'high': HAOEU
'road:': RAOD/STPH-FPLT
'"Left,': KW-GS/KPA*/HREFT/KW-BG
'right—left,': RAOEUT/EPL/TKA*RB/HREFT/KW-BG
'right."': RAOEUT/TP-PL/KR-GS
'He': KPA/HE
'had': H
'his': HEUS
'knapsack': TPHAP/SABG
'on': OPB
'his': HEUS
'back,': PWABG/KW-BG
'and': SKP
'a': AEU
'sword': SWORD
'at': AT
'his': HEUS
'side;': SAOEUD/STPH*FPLT
'he': HE
'had': H
'been': PW-PB
'to': TO
'the': -T
'wars,': WARS/KW-BG
'and': SKP
'was': WAS
'now': TPHOU
'returning': RURPBG
'home.': HOEPL/TP-PL
'As': KPA/AS
'he': HE
'walked': WAUBGD
'on,': OPB/KW-BG
'he': HE
'met': PHET
'a': AEU
'very': SRE
'frightful-looking': TPRAOEUT/-FL/SKWRAOG
'old': OLD
'witch': WEUFP
'in': TPH
'the': -T
'road.': RAOD/TP-PL
'Her': KPA/HER
'under-lip': TPH-PB/H-PB/HREUP
'hung': HUPBG
'quite': KWAOEUT
'down': TKOUPB
'on': OPB
'her': HER
'breast,': PWREFT/KW-BG
'and': SKP
'she': SHE
'stopped': STOPD
'and': SKP
'said,': SED/KW-BG
'"Good': KW-GS/KPA*/TKPWAOD
'evening,': AOEPBG/KW-BG
'soldier;': SHRERPBLG/STPH*FPLT
'you': U
'have': SR
'a': AEU
'very': SRE
'fine': TPAOEUPB
'sword,': SWORD/KW-BG
'and': SKP
'a': AEU
'large': HRARPBLG
'knapsack,': TPHAP/SABG/KW-BG
'and': SKP
'you': U
'are': R
'a': AEU
'real': RAEL
'soldier;': SHRERPBLG/STPH*FPLT
'so': SO
'you': U
'shall': SHAL
'have': SR
'as': AS
'much': PHUFP
'money': PHUPB
'as': AS
'ever': -FR
'you': U
'like."': HRAOEUBG/TP-PL/KR-GS
'"Thank': KW-GS/KPA*/THAPBG
'you,': U/KW-BG
'old': OLD
'witch,"': WEUFP/KW-BG/KR-GS
'said': SED
'the': -T
'soldier.': SHRERPBLG/TP-PL
'"Do': KW-GS/KPA*/TKO
'you': U
'see': SAOE
'that': THA
'large': HRARPBLG
'tree,"': TRAOE/KW-BG/KR-GS
'said': SED
'the': -T
'witch,': WEUFP/KW-BG
'pointing': POEUPBGT
'to': TO
'a': AEU
'tree': TRAOE
'which': WEU
'stood': STAOD
'beside': PWE/SAOEUD
'them.': THEPL/TP-PL
'"Well,': KW-GS/KPA*/WEL/KW-BG
'it': T
'is': S
'quite': KWAOEUT
'hollow': HOL/OE
'inside,': TPH-DZ/KW-BG
'and': SKP
'you': U
'must': PHUFT
'climb': KHRAOEUPL
'to': TO
'the': -T
'top,': TOP/KW-BG
'when': WHEPB
'you': U
'will': HR
'see': SAOE
'a': AEU
'hole,': HOEL/KW-BG
'through': THRU
'which': WEU
'you': U
'can': K
'let': HRET
'yourself': KWRO*URS
