The Toad

'The': KPA/-T
'well': WEL
'was': WAS
'deep,': TKAOEP/KW-BG
'and': SKP
'therefore': TH-FR
'the': -T
'rope': ROEP
'had': H
'to': TO
'be': -B
'a': AEU
'long': HROPBG
'one;': WUPB/STPH*FPLT
'it': T
'was': WAS
'heavy': HOEUF
'work': WORBG
'turning': TURPBG
'the': -T
'handle': HAPBL
'when': WHEPB
'any': TPHEU
'one': WUPB
'had': H
'to': TO
'raise': RAEUZ
'a': AEU
'bucketful': PWUBGT/-FL
'of': -F
'water': WAUR
'over': OEFR
'the': -T
'edge': EPBLG
'of': -F
'the': -T
'well.': WEL/TP-PL
'Though': KPA/THOE
'the': -T
'water': WAUR
'was': WAS
'clear,': KHRAOER/KW-BG
'the': -T
'sun': SUPB
'never': TPHEFR
'looked': HRAOBGD
'down': TKOUPB
'far': TPAR
'enough': TPHUF
'into': TPHAO
'the': -T
'well': WEL
'to': TO
'mirror': PHROR
'itself': T/SEFL
'in': TPH
'the': -T
'waters;': WAURS/STPH*FPLT
'but': PWUT
'as': AS
'far': TPAR
'as': AS
'its': EUTS
'beams': PWAOEPLS
'could': KO
'reach,': RAOEFP/KW-BG
'green': TKPWRAOEPB
'things': THEUPBGS
'grew': TKPWRAOU
'forth': TPO*RT
'between': TWAOEPB
'the': -T
'stones': STOEPBS
'in': TPH
'the': -T
'sides': SAOEUDZ
'of': -F
'the': -T
'well.': WEL/TP-PL
'Down': KPA/TKOUPB
'below': PWHRO
'dwelt': TKWELT
'a': AEU
'family': TPAEPL
'of': -F
'the': -T
'Toad': KPA/TAOD
'race.': RAEUS/TP-PL
'They': KPA/THE
'had,': H/KW-BG
'in': TPH
'fact,': TPABGT/KW-BG
'come': KOPL
'head-over-heels': HED/H-PB/OEFR/H-PB/HAOELS
'down': TKOUPB
'the': -T
'well,': WEL/KW-BG
'in': TPH
'the': -T
'person': PERPB
'of': -F
'the': -T
'old': OLD
'Mother-Toad,': KPA/PHOER/H-PB/KPA*/TAOD/KW-BG
'who': WHO
'was': WAS
'still': STEUL
'alive.': A/HRAOEUF/TP-PL
'The': KPA/-T
'green': TKPWRAOEPB
'Frogs,': KPA/TPROGS/KW-BG
'who': WHO
'had': H
'been': PW-PB
'established': STAEBD
'there': THR
'a': AEU
'long': HROPBG
'time,': TAOEUPL/KW-BG
'and': SKP
'swam': SWAPL
'about': PW
'in': TPH
'the': -T
'water,': WAURBGS
'called': KAULD
'them': THEPL
'"well-guests."': KW-GS/W*EL/TKPWEFTS/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'new-comers': TPHU/H-PB/KOPL/ERS
'seemed': SAOEPLD
'determined': TKERPLD
'to': TO
'stay': STAEU
'where': W-R
'they': THE
'were,': WR/KW-BG
'for': TPOR
'they': THE
'found': TPOUPBD
'it': T
'very': SRE
'agreeable': TKPWRAOEBL
'living': HREUFG
'"in': KW-GS/TPH
'a': AEU
'dry': TKRAOEU
'place,"': PHRAEUS/KW-BG/KR-GS
'as': AS
'they': THE
'called': KAULD
'the': -T
'wet': WET
'stones.': STOEPBS/TP-PL
'The': KPA/-T
'Mother-Frog': KPA/PHOER/H-PB/KPA*/TPROG
'had': H
'once': WUPBS
'been': PW-PB
'a': AEU
'traveller.': TRA*FL/HRER/TP-PL
'She': KPA/SHE
'happened': HAPD
'to': TO
'be': -B
'in': TPH
'the': -T
'water-bucket': WAUR/H-PB/PWUBGT
'when': WHEPB
'it': T
'was': WAS
'drawn': TKRAUPB
'up,': UP/KW-BG
'but': PWUT
'the': -T
'light': HRAOEUT
'became': PWAEUPL
'too': TAO
'strong': STROPBG
'for': TPOR
'her,': HER/KW-BG
'and': SKP
'she': SHE
'got': TKPWOT
'a': AEU
'pain': PAEUPB
'in': TPH
'her': HER
'eyes.': AO*EUS/TP-PL
'Fortunately': KPA/TP-RPBL
'she': SHE
'scrambled': SKAPL/-BLD
'out': OUT
'of': -F
'the': -T
'bucket;': PWUBGT/STPH*FPLT
'but': PWUT
'she': SHE
'fell': TPEL
'into': TPHAO
'the': -T
'water': WAUR
'with': W
'a': AEU
'terrible': TERBL
'flop,': TPHROP/KW-BG
'and': SKP
'had': H
'to': TO
'lie': HRAOEU
'sick': SEUBG
'for': TPOR
'three': THRAOE
'days': TKAEUS
'with': W
'pains': PAEUPBS
'in': TPH
'her': HER
'back.': PWABG/TP-PL
'She': KPA/SHE
'certainly': SERPBL
'had': H
'not': TPHOT
'much': PHUFP
'to': TO
'tell': TEL
'of': -F
'the': -T
'things': THEUPBGS
'up': UP
'above,': PWOF/KW-BG
'but': PWUT
'she': SHE
'knew': TPHAOU
'this,': TH/KW-BG
'and': SKP
'all': AUL
'the': -T
'Frogs': KPA/TPROGS
'knew': TPHAOU
'it,': T/KW-BG
'that': THA
'the': -T
'well': WEL
'was': WAS
'not': TPHOT
'all': AUL
'the': -T
'world.': WORLD/TP-PL
'The': KPA/-T
'Mother-Toad': KPA/PHOER/H-PB/KPA*/TAOD
'might': PHAOEUT
'have': SR
'told': TOLD
'this': TH
'and': SKP
'that,': THARBGS
'if': TP
'she': SHE
'had': H
'chosen,': KHOEFPB/KW-BG
'but': PWUT
'she': SHE
'never': TPHEFR
'answered': AEPBS/-D
'when': WHEPB
'they': THE
'asked': SK-D
'her': HER
'anything,': TPHEUG/KW-BG
'and': SKP
'so': SO
'they': THE
'left': HREFT
'off': OF
'asking.': SK-G/TP-PL
'"She's': KW-GS/KPA*/SHAOES
'thick,': THEUBG/KW-BG
'and': SKP
'fat': TPAT
'and': SKP
'ugly,"': ULG/KW-BG/KR-GS
'said': SED
'the': -T
'young': KWRUPBG
'green': TKPWRAOEPB
'Frogs;': KPA/TPROGS/STPH*FPLT
'"and': KW-GS/SKP
'her': HER
'children': KHEURPB
'will': HR
'be': -B
'just': SKWRUFT
'as': AS
'ugly': ULG
'as': AS
'she': SHE
'is."': S/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'may': PHAE
'be,"': -B/KW-BG/KR-GS
'retorted': RE/TORT/-D
'the': -T
'mother-Toad,': PHOER/H-PB/KPA*/TAOD/KW-BG
'"but': KW-GS/PWUT
'one': WUPB
'of': -F
'them': THEPL
'has': HAS
'a': AEU
'jewel': SKWRAOUL
'in': TPH
'his': HEUS
'head,': HED/KW-BG
'or': OR
'else': ELS
'I': EU
'have': SR
'the': -T
'jewel."': SKWRAOUL/TP-PL/KR-GS
'The': KPA/-T
'young': KWRUPBG
'frogs': TPROGS
'listened': HREUFPBD
'and': SKP
'stared;': STAERD/STPH*FPLT
'and': SKP
'as': AS
'these': THEZ
'words': WORDZ
'did': TK
'not': TPHOT
'please': PHRES
'them,': THEPL/KW-BG
'they': THE
'made': PHAED
'grimaces': TKPWREU/PHAS/-S
'and': SKP
'dived': TKAOEUFD
'down': TKOUPB
'under': TPH-PB
'the': -T
'water.': WAUR/TP-PL
'But': KPA/PWUT
'the': -T
'little': HREUL
'Toads': KPA/TOEDZ
