Two Brothers

'On': KPA/OPB
'one': WUPB
'of': -F
'the': -T
'Danish': TKAEUPB/EURB
'islands,': AOEU/HRAPBDZ/KW-BG
'where': W-R
'old': OLD
'Thingstones,': KPA/THEUPBG/STOPB/ES/KW-BG
'the': -T
'seats': SAOETS
'of': -F
'justice': SKWRUFS
'of': -F
'our': OUR
'forefathers,': TPOER/TPA*T/ERS/KW-BG
'still': STEUL
'stand': STAPBD
'in': TPH
'the': -T
'cornfields,': KORPB/TPAO*ELD/-S/KW-BG
'and': SKP
'huge': HAOUPBLG
'trees': TRAOES
'rise': RAOEUZ
'in': TPH
'the': -T
'forests': TPOEFRT/-S
'of': -F
'beech,': PWAOEFP/KW-BG
'there': THR
'lies': HRAO*EUS
'a': AEU
'little': HREUL
'town': TOUPB
'whose': WHOZ
'low': HROE
'houses': HO*UFS
'are': R
'covered': KOFRD
'with': W
'red': RED
'tiles.': TAOEULS/TP-PL
'In': KPA/TPH
'one': WUPB
'of': -F
'these': THEZ
'houses': HO*UFS
'strange': STRAEUPBG
'things': THEUPBGS
'were': WR
'brewing': PWRAOU/-G
'over': OEFR
'the': -T
'glowing': TKPWHROEG
'coals': KOEL/-S
'on': OPB
'the': -T
'open': OEP
'hearth;': HAERT/STPH*FPLT
'there': THR
'was': WAS
'a': AEU
'boiling': PWOEULG
'going': TKPW-G
'on': OPB
'in': TPH
'glasses,': TKPWHRAFS/KW-BG
'and': SKP
'a': AEU
'mixing': PH*EUFG
'and': SKP
'distilling,': TKEUS/TEUL/-G/KW-BG
'while': WHAOEUL
'herbs': HERBS
'were': WR
'being': -BG
'cut': KUT
'up': UP
'and': SKP
'pounded': POUPBD/-D
'in': TPH
'mortars.': PHOR/TAR/-S/TP-PL
'An': KPA/APB
'elderly': ERLD
'man': PHAPB
'looked': HRAOBGD
'after': AF
'it': T
'all.': AUL/TP-PL
'"One': KW-GS/KPA*/WUPB
'must': PHUFT
'only': OEPBL
'do': TKO
'the': -T
'right': RAOEUT
'thing,"': THEUPBG/KW-BG/KR-GS
'he': HE
'said;': SED/STPH*FPLT
'"yes,': KW-GS/KWRERBGS
'the': -T
'right—the': RAOEUT/EPL/TKA*RB/-T
'correct': KREBGT
'thing.': THEUPBG/TP-PL
'One': KPA/WUPB
'must': PHUFT
'find': TPAOEUPBD
'out': OUT
'the': -T
'truth': TRAO*UT
'concerning': K-RPBG
'every': EF
'created': KRAOETD
'particle,': PARL/KW-BG
'and': SKP
'keep': KAOEP
'to': TO
'that."': THA/TP-PL/KR-GS
'In': KPA/TPH
'the': -T
'room': RAOPL
'with': W
'the': -T
'good': TKPWAOD
'housewife': HOUS/WAOEUF
'sat': SAT
'her': HER
'two': TWO
'sons;': SOPBS/STPH*FPLT
'they': THE
'were': WR
'still': STEUL
'small,': SPHAL/KW-BG
'but': PWUT
'had': H
'great': TKPWRAET
'thoughts.': THAUTS/TP-PL
'Their': KPA/THAEUR
'mother,': PHOER/KW-BG
'too,': TAO/KW-BG
'had': H
'always': AULS
'spoken': SPOEPB
'to': TO
'them': THEPL
'of': -F
'right': RAOEUT
'and': SKP
'justice,': SKWRUFS/KW-BG
'and': SKP
'exhorted': KPHORT/-D
'them': THEPL
'to': TO
'keep': KAOEP
'to': TO
'the': -T
'truth,': TRAO*UT/KW-BG
'which': WEU
'she': SHE
'said': SED
'was': WAS
'the': -T
'countenance': KOUPBT/TPHAPBS
'of': -F
'the': -T
'Lord': HRO*RD
'in': TPH
'this': TH
'world.': WORLD/TP-PL
'The': KPA/-T
'elder': ELD/ER
'of': -F
'the': -T
'boys': PWOEUS
'looked': HRAOBGD
'roguish': ROEG/EURB
'and': SKP
'enterprising.': EPBT/PRAOEUZ/-G/TP-PL
'He': KPA/HE
'took': TAOBG
'a': AEU
'delight': TKHRAOEUT
'in': TPH
'reading': RAEGD
'of': -F
'the': -T
'forces': TPORSZ
'of': -F
'nature,': TPHAEURT/KW-BG
'of': -F
'the': -T
'sun': SUPB
'and': SKP
'the': -T
'moon;': PHAOPB/STPH*FPLT
'no': TPHO
'fairy': TPAEUR/REU
'tale': TAEL
'pleased': PHREFD
'him': HEUPL
'so': SO
'much.': PHUFP/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'how': HOU
'beautiful': PWAOUFL
'it': T
'must': PHUFT
'be,': -B/KW-BG
'he': HE
'thought,': THAUT/KW-BG
'to': TO
'go': TKPW
'on': OPB
'voyages': SROEUPBLGS
'of': -F
'discovery,': SKOEFR/KW-BG
'or': OR
'to': TO
'find': TPAOEUPBD
'out': OUT
'how': HOU
'to': TO
'imitate': EUPL/TAEUT
'the': -T
'wings': WEUPBGS
'of': -F
'birds': PWEURDZ
'and': SKP
'then': THEPB
'to': TO
'be': -B
'able': ABL
'to': TO
'fly!': TPHRAOEU/SKHRAPL
'Yes,': KPA/KWRE/KW-BG
'to': TO
'find': TPAOEUPBD
'that': THA
'out': OUT
'was': WAS
'the': -T
'right': RAOEUT
'thing.': THEUPBG/TP-PL
'Father': KPA/TPAER
'was': WAS
'right,': RAOEUT/KW-BG
'and': SKP
'mother': PHOER
'was': WAS
'right—truth': RAOEUT/EPL/TKA*RB/TRAO*UT
'holds': HOLDZ
'the': -T
'world': WORLD
'together.': TOGT/TP-PL
'The': KPA/-T
'younger': KWRURPBG
'brother': PWROER
'was': WAS
'quieter,': KWAOEURT/KW-BG
'and': SKP
'buried': PWUR/EUD
'himself': HEUPLS
'entirely': SPWAOEURL
'in': TPH
'his': HEUS
'books.': PWAOBGS/TP-PL
'When': KPA/WHEPB
'he': HE
'read': RAED
'about': PW
'Jacob': SKWRAEU/KOB
'dressing': TKREFG
'himself': HEUPLS
'in': TPH
'sheep-skins': SHAOEP/H-PB/SKEUPBS
'to': TO
'personify': PERPB/TPAOEU
'Esau,': *EP/-S/SKWRA/SKWRU/KW-BG
'and': SKP
'so': SO
'to': TO
'usurp': U/SURP
'his': HEUS
'brother's': PWROER/AES
'birthright,': PW*EURT/RAOEUGT/KW-BG
'he': HE
'would': WO
'clench': KHREFRPB
'his': HEUS
'little': HREUL
'fist': TPEUFT
'in': TPH
'anger': ARPBG
'against': TKPWEPBS
'the': -T
'deceiver;': TKE/SAOEFR/STPH*FPLT
'when': WHEPB
'he': HE
'read': RAED
'of': -F
'tyrants': TAOEUR/APBTS
'and': SKP
'of': -F
'the': -T
'injustice': EUPB/SRUFS
'and': SKP
'wickedness': WEUBGD/-PBS
'of': -F
'the': -T
'world,': WORLD/KW-BG
'tears': TAERS
'would': WO
'come': KOPL
'into': TPHAO
'his': HEUS
'eyes,': AO*EUS/KW-BG
'and': SKP
'he': HE
'was': WAS
'quite': KWAOEUT
'filled': TPEULD
'with': W
'the': -T
'thought': THAUT
'of': -F
'the': -T
'justice': SKWRUFS
'and': SKP
'truth': TRAO*UT
'which': WEU
'must': PHUFT
'and': SKP
'would': WO
'triumph.': TRAOEUFPL/TP-PL
'One': KPA/WUPB
'evening': AOEPBG
'he': HE
'was': WAS
'lying': HRAOEUG
'in': TPH
'bed,': PWED/KW-BG
'but': PWUT
'the': -T
'curtains': KUR/TEUPBS
'were': WR
'not': TPHOT
'yet': KWRET
'drawn': TKRAUPB
'close,': KHROES/KW-BG
'and': SKP
'the': -T
'light': HRAOEUT
'streamed': STRAOEPL/-D
'in': TPH
'upon': POPB
'him;': HEUPL/STPH*FPLT
'he': HE
'had': H
'taken': TAEPB
'his': HEUS
'book': PWAOBG
'into': TPHAO
'bed': PWED
'with': W
'him,': HEUPL/KW-BG
'for': TPOR
'he': HE
'wanted': WAPBTD
'to': TO
'finish': TP*EURB
'reading': RAEGD
'the': -T
'story': STOER
'of': -F
'Solon.': KPA/SOL/O*PB/TP-PL
'His': KPA/HEUS
'thoughts': THAUTS
'lifted': HREUFTD
'and': SKP
'carried': KAERD
'him': HEUPL
'away': WA*EU
'a': AEU
'wonderful': WUFL
'distance;': STKAPBS/STPH*FPLT
'it': T
'seemed': SAOEPLD
'to': TO
'him': HEUPL
'as': AS
'if': TP
'the': -T
'bed': PWED
'had': H
'become': PW-BG
'a': AEU
'ship': SHEUP
'flying': TPHRAOEUG
'along': HRAOPBG
'under': TPH-PB
'full': TPUL
'sail.': SAEUL/TP-PL
'Was': KPA/WAS
'he': HE
'dreaming,': TKRAOEPLG/KW-BG
'or': OR
'what': WHA
'was': WAS
'happening?': HAPG/H-F
'It': KPA/T
'glided': TKPWHRAOEUD/-D
'over': OEFR
'the': -T
'rolling': ROLG
'waves': WAFS
'and': SKP
'across': KRAOS
'the': -T
'ocean': OEGS
'of': -F
'time,': TAOEUPL/KW-BG
'and': SKP
'to': TO
'him': HEUPL
'came': KAEUPL
'the': -T
'voice': SROEUS
'of': -F
