Proverbial phrases starting with C

'Caesar's': SAOES/A*R/AES
'wife': WAOEUF
'must': PHUFT
'be': -B
'above': PWOF
'suspicion.': SPEUGS/TP-PL
'Careless': KPA/KAEURLS
'talk': TAUBG
'costs': KOFTS
'lives.': HREUFS/TP-PL
'Charity': KPA/KHAEURT
'begins': TKPWEUPBS
'at': AT
'home.': HOEPL/TP-PL
'Cheats': KPA/KHAOETS
'never': TPHEFR
'prosper.': PROS/PER/TP-PL
'Cheese,': KPA/KHAOES/KW-BG
'wine,': WAOEUPB/KW-BG
'and': SKP
'friends': TPREPBDZ
'must': PHUFT
'be': -B
'old': OLD
'to': TO
'be': -B
'good.': TKPWAOD/TP-PL
'Christmas': KREUS/PHAS
'comes': KOPLS
'but': PWUT
'once': WUPBS
'a': AEU
'year.': KWRAOER/TP-PL
'Cleanliness': KPA/KHREPB/HR*EUPBS
'is': S
'next': TPHEGT
'to': TO
'godliness.': TKPWOD/HREU/*PBS/TP-PL
'Clothes': KPA/KHRO*ETS
'make': PHAEUBG
'the': -T
'man.': PHAPB/TP-PL
'Coffee': KPA/KOEF
'and': SKP
'love': HRUF
'taste': TAEUFT
'best': PWEFT
'when': WHEPB
'hot.': HOT/TP-PL
'Cold': KPA/KOELD
'hands,': HAPBDZ/KW-BG
'warm': WARPL
'heart.': HART/TP-PL
'Comparisons': KPA/KPAEURPBS
'are': R
'odious.': OED/KWROUS/TP-PL
'Count': KO*UPBT
'your': KWROUR
'blessings.': PWHREFGS/TP-PL
'Courage': KPA/KORPBLG
'is': S
'the': -T
'measure': PH*ERB
'of': -F
'a': AEU
'Man,': KPA/PHAPB/KW-BG
'Beauty': KPA/PWAOUT
'is': S
'the': -T
'measure': PH*ERB
'of': -F
'a': AEU
'Woman.': KPA/WOPL/TP-PL
'Cowards': KPA/KOURDZ
'may': PHAE
'die': TKAOEU
'many': PHAEPB
'times': TAOEUPLS
'before': PW-FR
'their': THAEUR
'death.': TK*T/TP-PL
'Crime': KPA/KRAOEUPL
'does': TKOS
'not': TPHOT
'pay.': PAEU/TP-PL
'Cross': KPA/KROS
'the': -T
'stream': STRAOEPL
'where': W-R
'it': T
'is': S
'shallowest.': SHOEUL/EFT/TP-PL
'Cut': KPA/KUT
'your': KWROUR
'coat': KOET
'according': KORG
'to': TO
'your': KWROUR
'cloth.': KHRO*T/TP-PL
'Curiosity': KPA/KAOURS/TEU
'killed': KEULD
'the': -T
'cat.': KAT/TP-PL
