Proverbial phrases starting with D

'Dead': KPA/TKED
'men': PHEPB
'tell': TEL
'no': TPHO
'tales.': TAELS/TP-PL
'Devil': KPA/TKEFL
'take': TAEUBG
'the': -T
'hindmost.': HAOEUPBD/PHO*ES/TP-PL
'Discretion': KPA/SKREGS
'is': S
'the': -T
'better': PWOERT
'part': PART
'of': -F
'valour.': SRARL/A*U/TP-PL
'Do': KPA/TKO
'as': AS
'I': EU
'say,': SAEU/KW-BG
'not': TPHOT
'as': AS
'I': EU
'do.': TKO/TP-PL
'Do': KPA/TKO
'as': AS
'you': U
'would': WO
'be': -B
'done': TKOPB
'by.': PWEU/TP-PL
'Do': KPA/TKO
'unto': UPB/TO
'others': OERS
'as': AS
'you': U
'would': WO
'have': SR
'them': THEPL
'do': TKO
'unto': UPB/TO
'you.': U/TP-PL
'Do': KPA/TKO
'not': TPHOT
'bite': PWAOEUT
'the': -T
'hand': HAPBD
'that': THA
'feeds': TPAOEDZ
'you.': U/TP-PL
'Do': KPA/TKO
'not': TPHOT
'burn': PWURPB
'your': KWROUR
'bridges': PWREUPBLGS
'behind': HEUPBD
'you.': U/TP-PL
'Do': KPA/TKO
'not': TPHOT
'cast': KAFT
'your': KWROUR
'pearls': PERLS
'before': PW-FR
'swine.': SWAOEUPB/TP-PL
'Do': KPA/TKO
'not': TPHOT
'cry': KRAOEU
'over': OEFR
'spilled': SPEULD
'milk.': PH*EULG/TP-PL
'Do': KPA/TKO
'not': TPHOT
'change': KHAEUPBG
'horses': HORSZ
'in': TPH
'midstream.': PHEUD/STRAOEPL/TP-PL
'Do': KPA/TKO
'not': TPHOT
'count': KOUPBT
'your': KWROUR
'chickens': KHEU/KEPB/-S
'before': PW-FR
'they': THE
'are': R
'hatched.': HAFPD/TP-PL
'Do': KPA/TKO
'not': TPHOT
'cross': KROS
'the': -T
'bridge': PWREUPBLG
'till': TEUL
'you': U
'come': KOPL
'to': TO
'it.': T/TP-PL
'Do': KPA/TKO
'not': TPHOT
'cut': KUT
'off': OF
'your': KWROUR
'nose': TPHOES
'to': TO
'spite': SPAOEUT
'your': KWROUR
'face.': TPAEUS/TP-PL
'Do': KPA/TKO
'not': TPHOT
'fish': TPEURB
'for': TPOR
'a': AEU
'shark': SHARBG
'with': W
'your': KWROUR
'hands,': HAPBDZ/KW-BG
'fish': TPEURB
'for': TPOR
'hands': HAPBDZ
'with': W
'a': AEU
'shark.': SHARBG/TP-PL
'Do': KPA/TKO
'not': TPHOT
'judge': SKWRUPBLG
'a': AEU
'book': PWAOBG
'by': PWEU
'its': EUTS
'cover.': KOFR/TP-PL
'Do': KPA/TKO
'not': TPHOT
'keep': KAOEP
'a': AEU
'dog': TKOG
'and': SKP
'bark': PWARBG
'yourself.': KWRO*URS/TP-PL
'Do': KPA/TKO
'not': TPHOT
'let': HRET
'the': -T
'bastards': PWAS/TARDZ
'grind': TKPWRAOEUPBD
'you': U
'down.': TKOUPB/TP-PL
'Do': KPA/TKO
'not': TPHOT
'let': HRET
'the': -T
'grass': TKPWRAS
'grow': TKPWROE
'beneath': TPHAO*ET
'one's': W*UPBS
'feet.': TPAOET/TP-PL
'Do': KPA/TKO
'not': TPHOT
'look': HRAOBG
'a': AEU
'gift': TKPWEUFT
'horse': HORS
'in': TPH
'the': -T
'mouth.': PHO*UT/TP-PL
'Do': KPA/TKO
'not': TPHOT
'make': PHAEUBG
'a': AEU
'mountain': PHOUPB/TAEUPB
'out': OUT
'of': -F
'a': AEU
'mole': PHOEL
'hill.': HEUL/TP-PL
'Do': KPA/TKO
'not': TPHOT
'meet': PHAOET
'troubles': TRUBLS
'half-way.': HAF/H-PB/WAEU/TP-PL
'Do': KPA/TKO
'not': TPHOT
'put': PUT
'all': AUL
'your': KWROUR
'eggs': EGS
'in': TPH
'one': WUPB
'basket.': PWAFBGT/TP-PL
'Do': KPA/TKO
'not': TPHOT
'put': PUT
'the': -T
'cart': KART
'before': PW-FR
'the': -T
'horse.': HORS/TP-PL
'Do': KPA/TKO
'not': TPHOT
'put': PUT
'too': TAO
'many': PHAEPB
'irons': AOEURPBS
'in': TPH
'the': -T
'fire.': TPAOEUR/TP-PL
'Do': KPA/TKO
'not': TPHOT
'put': PUT
'new': TPHU
'wine': WAOEUPB
'into': TPHAO
'old': OLD
'bottles.': PWO*LTS/TP-PL
'Do': KPA/TKO
'not': TPHOT
'put': PUT
'off': OF
'until': TPH-L
'tomorrow': TORPL
'what': WHA
'you': U
'can': K
'do': TKO
'today.': TOED/TP-PL
'Do': KPA/TKO
'not': TPHOT
'rock': ROBG
'the': -T
'boat.': PWOET/TP-PL
'Do': KPA/TKO
'not': TPHOT
'shut': SHUT
'the': -T
'stable': STABL
'door': TKAOR
'after': AF
'the': -T
'horse': HORS
'has': HAS
'bolted.': PWOLT/-D/TP-PL
'Do': KPA/TKO
'not': TPHOT
'spend': SPEPBD
'it': T
'all': AUL
'in': TPH
'one': WUPB
'place.': PHRAEUS/TP-PL
'Do': KPA/TKO
'not': TPHOT
'spoil': SPOEUL
'the': -T
'ship': SHEUP
'for': TPOR
'a': AEU
'ha'porth': HAE/AE/PO*RT/H*
'of': -F
'tar.': TAR/TP-PL
'Do': KPA/TKO
'not': TPHOT
'throw': THROE
'pearls': PERLS
'to': TO
'swine.': SWAOEUPB/TP-PL
'Do': KPA/TKO
'not': TPHOT
'teach': TAOEFP
'your': KWROUR
'Grandmother': KPA/TKPWR-PL
'to': TO
'suck': SUBG
'eggs.': EGS/TP-PL
'Do': KPA/TKO
'not': TPHOT
'throw': THROE
'the': -T
'baby': PWAEB
'out': OUT
'with': W
'the': -T
'bathwater.': PWA*T/WAUR/TP-PL
'Do': KPA/TKO
'not': TPHOT
'try': TREU
'to': TO
'walk': WAUBG
'before': PW-FR
'you': U
'can': K
'crawl.': KRAUL/TP-PL
'Do': KPA/TKO
'not': TPHOT
'upset': AUP/SET
'the': -T
'apple-cart.': A*EPL/H-PB/KART/TP-PL
'Do': KPA/TKO
'not': TPHOT
'wash': WARB
'your': KWROUR
'dirty': TKOEURT
'linen': HREUPB/-PB
'in': TPH
'public.': PHREUBG/TP-PL
'Do': KPA/TKO
'not': TPHOT
'sympathize': SEUPL/THAOEUZ
'with': W
'those': THOZ
'who': WHO
'can': K
'not': TPHOT
'empathize.': EPL/THAOEUZ/TP-PL
'Do': KPA/TKO
'unto': UPB/TO
'others': OERS
'as': AS
'you': U
'would': WO
'have': SR
'them': THEPL
'do': TKO
'unto': UPB/TO
'you.': U/TP-PL
'Doubt': KPA/TKOUT
'is': S
'the': -T
'beginning,': TKPWEUPB/-G/KW-BG
'not': TPHOT
'the': -T
'end,': EPBD/KW-BG
'of': -F
'wisdom.': WEUZ/TKOPL/TP-PL
