Proverbial phrases starting with G

'Genius': KPA/SKWRAOEPB/KWROUS
'is': S
'an': APB
'infinite': TPH-FPBT
'capacity': KPAFT
'for': TPOR
'taking': TAEUG
'pains.': PAEUPBS/TP-PL
'Give': KPA/TKPWEUF
'a': AEU
'dog': TKOG
'a': AEU
'bad': PWAD
'name': TPHAEUPL
'and': SKP
'hang': HAPBG
'him.': HEUPL/TP-PL
'Give': KPA/TKPWEUF
'a': AEU
'man': PHAPB
'a': AEU
'fish': TPEURB
'and': SKP
'you': U
'feed': TPAOED
'him': HEUPL
'for': TPOR
'a': AEU
'day.': TKAEU/TP-PL
'Give': KPA/TKPWEUF
'a': AEU
'man': PHAPB
'rope': ROEP
'enough': TPHUF
'and': SKP
'he': HE
'will': HR
'hang': HAPBG
'himself.': HEUPLS/TP-PL
'Give': KPA/TKPWEUF
'credit': KRET
'where': W-R
'credit': KRET
'is': S
'due.': TKAOU/TP-PL
'Give': KPA/TKPWEUF
'him': HEUPL
'an': APB
'inch': TPH-FP
'and': SKP
'he': HE
'will': HR
'take': TAEUBG
'a': AEU
'mile.': PHAOEUL/TP-PL
'Give': KPA/TKPWEUF
'the': -T
'devil': TKEFL
'his': HEUS
'due.': TKAOU/TP-PL
'God': TKPWO*D
'helps': HEPS
'those': THOZ
'who': WHO
'help': HEP
'themselves.': TH*EPLS/TP-PL
'Good': KPA/TKPWAOD
'fences': TPEPBS/-S
'make': PHAEUBG
'good': TKPWAOD
'neighbours.': TPHAEUBS/A*U/TP-PL
'Good': KPA/TKPWAOD
'talk': TAUBG
'saves': SAFS
'the': -T
'food.': TPAOD/TP-PL
'Good': KPA/TKPWAOD
'things': THEUPBGS
'come': KOPL
'to': TO
'those': THOZ
'who': WHO
'wait.': WAEUT/TP-PL
'Great': KPA/TKPWRAET
'minds': PHAOEUPBDZ
'think': THEU
'alike.': A/HRAOEUBG/TP-PL
