Proverbial phrases starting with H

'Half': KPA/HAF
'a': AEU
'loaf': HROEF
'is': S
'better': PWOERT
'than': THAPB
'no': TPHO
'bread.': PWRAED/TP-PL
'Handsome': KPA/HAPBD/SO*PL
'is': S
'as': AS
'handsome': HAPBD/SO*PL
'does.': TKOS/TP-PL
'Hard': KPA/HARD
'cases': KAEUSZ
'make': PHAEUBG
'bad': PWAD
'law.': HRAU/TP-PL
'Hard': KPA/HARD
'work': WORBG
'never': TPHEFR
'did': TK
'anyone': TPHEUPB
'any': TPHEU
'harm.': HARPL/TP-PL
'Haste': KPA/HAEUFT
'makes': PHAEUBGS
'waste.': WAEFT/TP-PL
'He': KPA/HE
'that': THA
'goes': TKPW-S
'a-borrowing,': AEU/H-PB/PWO*ERG/KW-BG
'goes': TKPW-S
'a-sorrowing.': AEU/H-PB/SROE/-G/TP-PL
'He': KPA/HE
'who': WHO
'can,': K-RBGS
'does;': TKOS/STPH*FPLT
'he': HE
'who': WHO
'cannot,': SK-PBT/KW-BG
'teaches.': TAOEFPS/TP-PL
'He': KPA/HE
'who': WHO
'hesitates': HES/TAEUTS
'is': S
'lost.': HRO*S/TP-PL
'He': KPA/HE
'who': WHO
'laughs': HRAFS
'last': HRAFT
'laughs': HRAFS
'longest.': HROPBG/EFT/TP-PL
'He': KPA/HE
'who': WHO
'lives': HREUFS
'by': PWEU
'the': -T
'sword,': SWORD/KW-BG
'dies': TKAOEUZ
'by': PWEU
'the': -T
'sword.': SWORD/TP-PL
'He': KPA/HE
'who': WHO
'loves': HRUFS
'the': -T
'world': WORLD
'as': AS
'his': HEUS
'body': PWO*ED
'may': PHAE
'be': -B
'entrusted': EPB/TRUFT/-D
'with': W
'the': -T
'empire.': EPL/PAOEUR/TP-PL
'He': KPA/HE
'who': WHO
'makes': PHAEUBGS
'a': AEU
'beast': PWAOEFT
'out': OUT
'of': -F
'himself': HEUPLS
'gets': TKPWETS
'rid': REUD
'of': -F
'the': -T
'pain': PAEUPB
'of': -F
'being': -BG
'a': AEU
'man.': PHAPB/TP-PL
'He': KPA/HE
'who': WHO
'pays': PAEUZ
'the': -T
'piper': PAOEUP/*ER
'calls': KAULS
'the': -T
'tune.': TAOUPB/TP-PL
'He': KPA/HE
'who': WHO
'knows': TPHOEZ
'does': TKOS
'not': TPHOT
'speak.': SPAOEBG/TP-PL
'He': KPA/HE
'who': WHO
'sups': SUP/-S
'with': W
'the': -T
'Devil': KPA/TKEFL
'should': SHO
'have': SR
'a': AEU
'long': HROPBG
'spoon.': SPAOPB/TP-PL
'Hell': KPA/HEL
'hath': HA*T
'no': TPHO
'fury': TPAOU/REU
'like': HRAOEUBG
'a': AEU
'woman': WOPL
'scorned.': SKORPBD/TP-PL
'Heav'n': H*P/*E/A*/SR*/AE/TPH*
'has': HAS
'no': TPHO
'Rage,': KPA/RAEUPBLG/KW-BG
'like': HRAOEUBG
'Love': KPA/HRUF
'to': TO
'Hatred': KPA/HAEU/TRED
'turn'd,': TURPB/*D/KW-BG
'Nor': KPA/TPH-R
'Hell': KPA/HEL
'a': AEU
'Fury,': KPA/TPAOU/REU/KW-BG
'like': HRAOEUBG
'a': AEU
'Woman': KPA/WOPL
'scorn'd.': SKORPB/AE/TK*/TP-PL
'Hindsight': KPA/HEUPBD/SAOEUT
'is': S
'always': AULS
'twenty-twenty.': TWEPBT/H-PB/TWEPBT/TP-PL
'History': KPA/HEUFRT
'repeats': RAOE/PAOETS
'itself.': T/SEFL/TP-PL
'Home': KPA/HOEPL
'is': S
'where': W-R
'the': -T
'heart': HART
'is.': S/TP-PL
'Honesty': KPA/HOPBS/TEU
'is': S
'the': -T
'best': PWEFT
'policy.': POEULS/TP-PL
'Hope': KPA/HOEP
'for': TPOR
'the': -T
'best,': PWEFT/KW-BG
'and': SKP
'prepare': PRAEP
'for': TPOR
'the': -T
'worst.': WOFRT/TP-PL
'Hope': KPA/HOEP
'springs': SPREUPBGS
'eternal.': AOE/TERPBL/TP-PL
'Horses': KPA/HORSZ
'for': TPOR
'courses.': KORSZ/TP-PL
'Hunger': KPA/HURPBG
'never': TPHEFR
'knows': TPHOEZ
'the': -T
'taste,': TAEUFT/KW-BG
'sleep': SHRAOEP
'never': TPHEFR
'knows': TPHOEZ
'the': -T
'comfort.': K-FRT/TP-PL
'History': KPA/HEUFRT
'repeats': RAOE/PAOETS
'itself,': T/SEFL/KW-BG
'and': SKP
'it': T
'does': TKOS
'not': TPHOT
'care': KAEUR
'what': WHA
'it': T
'repeats.': RAOE/PAOETS/TP-PL
