Proverbs starting with B

'Barking': KPA/PWARBG/-G
'dogs': TKOGS
'seldom': SELD
'bite.': PWAOEUT/TP-PL
'Beauty': KPA/PWAOUT
'lies': HRAO*EUS
'in': TPH
'the': -T
'eyes': AO*EUS
'of': -F
'the': -T
'beholder.': PWHOELD/*ER/TP-PL
'Beauty': KPA/PWAOUT
'is': S
'only': OEPBL
'skin': SKEUPB
'deep.': TKAOEP/TP-PL
'Beggars': KPA/PWEG/A*RS
'can't': K-PBT
'be': -B
'choosers.': KHAOZ/ER/-S/TP-PL
'Better': KPA/PWOERT
'late': HRAEUT
'than': THAPB
'never.': TPHEFR/TP-PL
'Better': KPA/PWOERT
'safe': SAEUF
'than': THAPB
'sorry.': SOER/TP-PL
'Better': KPA/PWOERT
'the': -T
'devil': TKEFL
'you': U
'know': TPHOE
'than': THAPB
'the': -T
'devil': TKEFL
'that': THA
'you': U
'don't': TKOEPBT
'know.': TPHOEFPLT
'Birds': KPA/PWEURDZ
'of': -F
'a': AEU
'feather': TP*ERT
'flock': TPHROBG
'together.': TOGT/TP-PL
'Bitter': KPA/PWEURT
'pills': PEULS
'may': PHAE
'have': SR
'blessed': PWHR*EFD
'effects.': TPEBGZ/TP-PL
'Blood': KPA/PWHRAOD
'is': S
'thicker': THEURBG
'than': THAPB
'water.': WAUR/TP-PL
'Blood': KPA/PWHRAOD
'will': HR
'out.': OUT/TP-PL
'Brain': KPA/PWRAEUPB
'is': S
'better': PWOERT
'than': THAPB
'brawn.': PWRAUPB/TP-PL
'Bread': KPA/PWRAED
'is': S
'the': -T
'staff': STAF
'of': -F
'life.': HRAOEUF/TP-PL
'Butter': KPA/PWAOURT
'is': S
'gold': TKPWOELD
'in': TPH
'the': -T
'morning,': PHORPBG/KW-BG
'silver': SEUL/SRER
'at': AT
'noon,': TPHAOPB/KW-BG
'lead': HRAED
'at': AT
'night.': TPHAOEUT/TP-PL
