Proverbs starting with C

'Cider': KPA/SAOEUD/*ER
'on': OPB
'beer,': PWAOER/KW-BG
'never': TPHEFR
'fear;': TPAOER/STPH*FPLT
'beer': PWAOER
'upon': POPB
'cider,': SAOEUD/*ER/KW-BG
'makes': PHAEUBGS
'a': AEU
'bad': PWAD
'rider.': ROEURD/TP-PL
'Clothes': KPA/KHRO*ETS
'don't': TKOEPBT
'make': PHAEUBG
'the': -T
'man.': PHAPB/TP-PL
'Cowards': KPA/KOURDZ
'die': TKAOEU
'many': PHAEPB
'times,': TAOEUPLS/KW-BG
'but': PWUT
'a': AEU
'brave': PWRAEUF
'man': PHAPB
'only': OEPBL
'dies': TKAOEUZ
'once.': WUPBS/TP-PL
'Cross': KPA/KROS
'the': -T
'stream': STRAOEPL
'where': W-R
'it': T
'is': S
'the': -T
'shallowest.': SHOEUL/EFT/TP-PL
'Curiosity': KPA/KAOURS/TEU
'killed': KEULD
'the': -T
'cat.': KAT/TP-PL
'Cut': KPA/KUT
'one's': W*UPBS
'coat': KOET
'according': KORG
'to': TO
'one's': W*UPBS
'cloth.': KHRO*T/TP-PL
