Proverbs starting with M

'Make': KPA/PHAEUBG
'hay': HA*EU
'while': WHAOEUL
'the': -T
'sun': SUPB
'shines.': SHAOEUPBS/TP-PL
'Manners': KPA/PHAERPBS
'maketh': PHAEUBG/*T
'man': PHAPB
'or': OR
'so': SO
'I'm': AOEUPL
'told.': TOLD/TP-PL
'Many': KPA/PHAEPB
'hands': HAPBDZ
'make': PHAEUBG
'light': HRAOEUT
'work.': WORBG/TP-PL
'Money': KPA/PHUPB
'talks.': TAUBGS/TP-PL
'Money': KPA/PHUPB
'talks,': TAUBGS/KW-BG
'bullshit': PWUL/SHEUT
'walks.': WAUBGS/TP-PL
'More': KPA/PHOR
'haste,': HAEUFT/KW-BG
'less': HRES
'speed.': SPAOED/TP-PL
'Mutton': KPA/PHUT/O*PB
'dressed': TKREFD
'as': AS
'lamb.': HRAPL/TP-PL
