Proverbs starting with P

'Paddle': KPA/PAD/*L
'your': KWROUR
'own': OEPB
'canoe.': KA/TPHAO/TP-PL
'Penny': KPA/PEPB/TPHEU
'wise,': WAOEUS/KW-BG
'pound': POUPBD
'foolish.': TPAOL/EURB/TP-PL
'People': KPA/PAOEPL
'who': WHO
'live': HREUF
'in': TPH
'glass': TKPWHRAS
'houses': HO*UFS
'shouldn't': SHOPBT
'throw': THROE
'stones.': STOEPBS/TP-PL
'Power': KPA/POUR
'corrupts;': KRUPTS/STPH*FPLT
'absolute': SHRAOUT
'power': POUR
'corrupts': KRUPTS
'absolutely.': SHRAOULT/TP-PL
'Practice': KPA/PRABGS
'makes': PHAEUBGS
'perfect.': P-F/TP-PL
'Prevention': KPA/PREFPBGS
'is': S
'better': PWOERT
'than': THAPB
'cure.': KAOUR/TP-PL
'Pride': KPA/PRAOEUD
'goeth': TKPW/*ET
'before': PW-FR
'a': AEU
'fall.': TPAUL/TP-PL
'Pride': KPA/PRAOEUD
'comes': KOPLS
'before': PW-FR
'a': AEU
'fall.': TPAUL/TP-PL
'Procrastination': KPA/PRO/KRAFT/TPHAEUGS
'is': S
'the': -T
'thief': THAOEF
'of': -F
'time.': TAOEUPL/TP-PL
'Proof': KPA/PRAOF
'of': -F
'the': -T
'pudding': PUD/-G
'is': S
'in': TPH
'the': -T
'eating.': AOEGT/TP-PL
'Proverbs': KPA/PROFRB/-S
'hunt': HUPBT
'in': TPH
'pairs.': PAEURS/TP-PL
