Proverbs starting with S

'Seek': KPA/SAOEBG
'and': SKP
'ye': KWR*/SKWRE
'shall': SHAL
'find.': TPAOEUPBD/TP-PL
'Six': KPA/SEUBGS
'of': -F
'one,': WUPB/KW-BG
'half': HAF
'a': AEU
'dozen': TKOZ
'of': -F
'the': -T
'other.': OER/TP-PL
'Spare': KPA/SPAEUR
'the': -T
'rod': ROD
'and': SKP
'spoil': SPOEUL
'the': -T
'child.': KHAOEULD/TP-PL
'Still': KPA/STEUL
'waters': WAURS
'are': R
'the': -T
'deepest.': TKAOEP/EFT/TP-PL
'Still': KPA/STEUL
'waters': WAURS
'run': RUPB
'deep.': TKAOEP/TP-PL
'Strike': KPA/STRAOEUBG
'while': WHAOEUL
'the': -T
'iron': AOEURPB
'is': S
'hot.': HOT/TP-PL
