Proverbs starting with W

'Waste': KPA/WAEFT
'not,': TPHOT/KW-BG
'want': WAPBT
'not.': TPHOT/TP-PL
'We': KPA/WE
'all': AUL
'make': PHAEUBG
'mistakes.': SPHAEUBGS/TP-PL
'We': KPA/WE
'must': PHUFT
'take': TAEUBG
'the': -T
'bad': PWAD
'with': W
'the': -T
'good.': TKPWAOD/TP-PL
'What': KPA/WHA
'goes': TKPW-S
'around,': ARPBD/KW-BG
'comes': KOPLS
'around.': ARPBD/TP-PL
'What's': KPA/WHATS
'sauce': SAUS
'for': TPOR
'the': -T
'goose': TKPWAOS
'is': S
'sauce': SAUS
'for': TPOR
'the': -T
'gander.': TKPWAPBD/*ER/TP-PL
'When': KPA/WHEPB
'in': TPH
'Rome': RO*EPL
'do': TKO
'as': AS
'the': -T
'Romans': RO*EPBS
'do.': TKO/TP-PL
'When': KPA/WHEPB
'the': -T
'cat's': KAT/AES
'away': WA*EU
'the': -T
'mice': PHAOEUS
'will': HR
'play.': PHRAEU/TP-PL
'When': KPA/WHEPB
'the': -T
'going': TKPW-G
'gets': TKPWETS
'tough,': TUF/KW-BG
'the': -T
'tough': TUF
'get': TKPWET
'going.': TKPW-G/TP-PL
'When': KPA/WHEPB
'you're': UR
'up': UP
'to': TO
'your': KWROUR
'neck': TPHEBG
'in': TPH
'alligators,': ALG/AEUT/O*R/-S/KW-BG
'it': T
'can': K
'be': -B
'difficult': TKEUFL
'to': TO
'remember': RER
'that': THA
'the': -T
'original': ORPBLG
'goal': TKPWOEL
'was': WAS
'to': TO
'drain': TKRAEUPB
'the': -T
'swamp.': SWAFRP/TP-PL
'Where': KPA/W-R
'one': WUPB
'door': TKAOR
'shuts,': SHUTS/KW-BG
'another': TPHOER
'opens.': OEPS/TP-PL
'Where': KPA/W-R
'there's': THR-S
'a': AEU
'will': HR
'there's': THR-S
'a': AEU
'way.': WAEU/TP-PL
'While': KPA/WHAOEUL
'there's': THR-S
'life,': HRAOEUF/KW-BG
'there's': THR-S
'hope.': HOEP/TP-PL
'Who': KPA/WHO
'keeps': KAOEPS
'company': K-P
'with': W
'the': -T
'wolves,': WOFLS/KW-BG
'will': HR
'learn': HRERPB
'to': TO
'howl.': HOUL/TP-PL
'Wide': KPA/WAOEUD
'ears': AOERS
'and': SKP
'short': SHORT
'tongue': TUPBG
'are': R
'the': -T
'best.': PWEFT/TP-PL
'Wilful': KPA/HR-FL/A*U
'waste': WAEFT
'makes': PHAEUBGS
'woeful': WO*EFL
'want.': WAPBT/TP-PL
'Without': KPA/WOUT
'sleep,': SHRAOEP/KW-BG
'no': TPHO
'health.': H*ELT/TP-PL
