Speech to the Troops at Tilbury

'My': KPA/PHEU
'loving': HRUFG
'people.': PAOEPL/TP-PL
'We': KPA/WE
'have': SR
'been': PW-PB
'persuaded': PER/SWAEUD/-D
'by': PWEU
'some': SOPL
'that': THA
'are': R
'careful': KAEUFL
'of': -F
'our': OUR
'safety,': SAEFT/KW-BG
'to': TO
'take': TAEUBG
'heed': HAO*ED
'how': HOU
'we': WE
'commit': KPHEUT
'our': OUR
'selves': S*EFLS
'to': TO
'armed': ARPLD
'multitudes,': PHULT/TAOUDZ/KW-BG
'for': TPOR
'fear': TPAOER
'of': -F
'treachery;': TREFP/REU/STPH*FPLT
'but': PWUT
'I': EU
'assure': A/SHUR
'you': U
'I': EU
'do': TKO
'not': TPHOT
'desire': STKAOEUR
'to': TO
'live': HREUF
'to': TO
'distrust': TKEUS/TRUFT
'my': PHEU
'faithful': TPA*EUT/-FL
'and': SKP
'loving': HRUFG
'people.': PAOEPL/TP-PL
'Let': KPA/HRET
'tyrants': TAOEUR/APBTS
'fear.': TPAOER/TP-PL
'I': EU
'have': SR
'always': AULS
'so': SO
'behaved': PWHAEUFD
'myself': PHAO*EUS
'that,': THARBGS
'under': TPH-PB
'God,': TKPWO*D/KW-BG
'I': EU
'have': SR
'placed': PHRAEUFD
'my': PHEU
'chiefest': KHAOEF/EFT
'strength': STREPBG
'and': SKP
'safeguard': SAEUF/TKPWARD
'in': TPH
'the': -T
'loyal': HROEUL
'hearts': HARTS
'and': SKP
'good-will': TKPWAOD/H-PB/HR
'of': -F
'my': PHEU
'subjects;': SUBTS/STPH*FPLT
'and': SKP
'therefore': TH-FR
'I': EU
'am': APL
'come': KOPL
'amongst': PHOPBGS
'you,': U/KW-BG
'as': AS
'you': U
'see,': SAOERBGS
'at': AT
'this': TH
'time,': TAOEUPL/KW-BG
'not': TPHOT
'for': TPOR
'my': PHEU
'recreation': RE/KRAEGS
'and': SKP
'disport,': TKEUS/PORT/KW-BG
'but': PWUT
'being': -BG
'resolved,': RO*FLD/KW-BG
'in': TPH
'the': -T
'midst': PHEUDZ
'and': SKP
'heat': HAOET
'of': -F
'the': -T
'battle,': PWA*LT/KW-BG
'to': TO
'live': HREUF
'and': SKP
'die': TKAOEU
'amongst': PHOPBGS
'you': U
'all;': AUL/STPH*FPLT
'to': TO
'lay': HRAEU
'down': TKOUPB
'for': TPOR
'my': PHEU
'God,': TKPWO*D/KW-BG
'and': SKP
'for': TPOR
'my': PHEU
'kingdom,': KEUPBG/TKOPL/KW-BG
'and': SKP
'my': PHEU
'people,': PAOEPL/KW-BG
'my': PHEU
'honour': HO*RPB/A*U
'and': SKP
'my': PHEU
'blood,': PWHRAOD/KW-BG
'even': AOEPB
'in': TPH
'the': -T
'dust.': TKUFT/TP-PL
'I': EU
'know': TPHOE
'I': EU
'have': SR
'the': -T
'body': PWO*ED
'of': -F
'a': AEU
'weak,': WAEBG/KW-BG
'feeble': TPAOEBL
'woman;': WOPL/STPH*FPLT
'but': PWUT
'I': EU
'have': SR
'the': -T
'heart': HART
'and': SKP
'stomach': STUPL
'of': -F
'a': AEU
'king,': KEUPBG/KW-BG
'and': SKP
'of': -F
'a': AEU
'king': KEUPBG
'of': -F
'England': TKPWHRAEPBD
'too,': TAO/KW-BG
'and': SKP
'think': THEU
'foul': TPOUL
'scorn': SKORPB
'that': THA
'Parma': PAR/PHA
'or': OR
'Spain,': SPAEUPB/KW-BG
'or': OR
'any': TPHEU
'prince': PREUPBS
'of': -F
'Europe,': AO*URP/KW-BG
'should': SHO
'dare': TKAEUR
'to': TO
'invade': EUPB/SRAEUD
'the': -T
