A Haunted House

'Whatever': KPA/WHAF
'hour': HOUR
'you': U
'woke': WOEBG
'there': THR
'was': WAS
'a': AEU
'door': TKAOR
'shutting.': SHUGT/TP-PL
'From': KPA/TPR
'room': RAOPL
'to': TO
'room': RAOPL
'they': THE
'went,': WEPBT/KW-BG
'hand': HAPBD
'in': TPH
'hand,': HAPBD/KW-BG
'lifting': HREUFT/-G
'here,': HAOERBGS
'opening': OEPG
'there,': THR-RBGS
'making': PHAEUG
'sure—a': SHUR/EPL/TKA*RB/AEU
'ghostly': TKPWOEFT/HREU
'couple.': KUPL/TP-PL
'"Here': KW-GS/KPA*/HAOER
'we': WE
'left': HREFT
'it,"': T/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'And': AFPBD
'he': HE
'added,': AD/-D/KW-BG
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'but': PWUT
'here': HAOER
'too!"': TAO/SKHRAPL/KR-GS
'"It's': KW-GS/KPA*/T-S
'upstairs,"': AUP/STAEURS/KW-BG/KR-GS
'she': SHE
'murmured.': PHUR/PHUR/-D/TP-PL
'"And': KW-GS/AFPBD
'in': TPH
'the': -T
'garden,"': TKPWA*RPB/KW-BG/KR-GS
'he': HE
'whispered.': WHEUS/PERD/TP-PL
'"Quietly,"': KW-GS/KPA*/KWAO*EULT/KW-BG/KR-GS
'they': THE
'said,': SED/KW-BG
'"or': KW-GS/OR
'we': WE
'shall': SHAL
'wake': WAEUBG
'them."': THEPL/TP-PL/KR-GS
'But': KPA/PWUT
'it': T
'wasn't': WAEPBT
'that': THA
'you': U
'woke': WOEBG
'us.': US/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'no.': TPHO/TP-PL
'"They're': KW-GS/KPA*/THER
'looking': HRAOG
'for': TPOR
'it;': T/STPH*FPLT
'they're': THER
'drawing': TKRAUG
'the': -T
'curtain,"': KUR/TAPB/KW-BG/KR-GS
'one': WUPB
'might': PHAOEUT
'say,': SAEU/KW-BG
'and': SKP
'so': SO
'read': RAED
'on': OPB
'a': AEU
'page': PAEUPBLG
'or': OR
'two.': TWO/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'they've': THEF
'found': TPOUPBD
'it,"': T/KW-BG/KR-GS
'one': WUPB
'would': WO
'be': -B
'certain,': SERPB/KW-BG
'stopping': STOPG
'the': -T
'pencil': PEPB/SEUL
'on': OPB
'the': -T
'margin.': PHARPB/TP-PL
'And': AFPBD
'then,': THEPB/KW-BG
'tired': TAOEURD
'of': -F
'reading,': RAEGD/KW-BG
'one': WUPB
'might': PHAOEUT
'rise': RAOEUZ
'and': SKP
'see': SAOE
'for': TPOR
'oneself,': WUPB/SEFL/KW-BG
'the': -T
'house': HOUS
'all': AUL
'empty,': EPLT/KW-BG
'the': -T
'doors': TKAORS
'standing': STAPBG
'open,': OEP/KW-BG
'only': OEPBL
'the': -T
'wood': WAOD
'pigeons': PEUPBLG/-PBS
'bubbling': PWUBL/-G
'with': W
'content': KAUPBT
'and': SKP
'the': -T
'hum': HUPL
'of': -F
'the': -T
'threshing': THRERB/-G
'machine': PH-PB
'sounding': SOUPBD/-G
'from': TPR
'the': -T
'farm.': TPARPL/TP-PL
'"What': KW-GS/KPA*/WHA
'did': TK
'I': EU
'come': KOPL
'in': TPH
'here': HAOER
'for?': TPOR/H-F
'What': KPA/WHA
'did': TK
'I': EU
'want': WAPBT
'to': TO
'find?"': TPAOEUPBD/H-F/KR-GS
'My': KPA/PHEU
'hands': HAPBDZ
'were': WR
'empty.': EPLT/TP-PL
'"Perhaps': KW-GS/KPA*/PRAPS
'it's': T-S
'upstairs': AUP/STAEURS
'then?"': THEPB/H-F/KR-GS
'The': KPA/-T
'apples': APLS
'were': WR
'in': TPH
'the': -T
'loft.': HRO*FT/TP-PL
'And': AFPBD
'so': SO
'down': TKOUPB
'again,': STKPWERPBGS
'the': -T
'garden': TKPWA*RPB
'still': STEUL
'as': AS
'ever,': -FR/KW-BG
'only': OEPBL
'the': -T
'book': PWAOBG
'had': H
'slipped': SHREUPD
'into': TPHAO
'the': -T
