An Unwritten Novel

'Such': KPA/SUFP
'an': APB
'expression': EBGS/PREGS
'of': -F
'unhappiness': UPB/HAEP/-PBS
'was': WAS
'enough': TPHUF
'by': PWEU
'itself': T/SEFL
'to': TO
'make': PHAEUBG
'one's': W*UPBS
'eyes': AO*EUS
'slide': SHRAOEUD
'above': PWOF
'the': -T
'paper's': PAEUP/AES
'edge': EPBLG
'to': TO
'the': -T
'poor': PAOR
'woman's': WOPL/AES
'face—insignificant': TPAEUS/EPL/TKA*RB/EUPB/SEUG
'without': WOUT
'that': THA
'look,': HRAOBG/KW-BG
'almost': HR-PL
'a': AEU
'symbol': SPWOL
'of': -F
'human': HAOUPL
'destiny': TKEFT/TPHEU
'with': W
'it.': T/TP-PL
'Life's': KPA/HRAOEUF/AES
'what': WHA
'you': U
'see': SAOE
'in': TPH
'people's': PAOEPL/AES
'eyes;': AO*EUS/STPH*FPLT
'life's': HRAOEUF/AES
'what': WHA
'they': THE
'learn,': HRERPB/KW-BG
'and,': SKP/KW-BG
'having': SR-G
'learnt': HRERPBT
'it,': T/KW-BG
'never,': TPHEFR/KW-BG
'though': THOE
'they': THE
'seek': SAOEBG
'to': TO
'hide': HAOEUD
'it,': T/KW-BG
'cease': SAOES
'to': TO
'be': -B
'aware': A/WAEUR
'of—what?': -F/EPL/TKA*RB/WHA/H-F
'That': KPA/THA
'life's': HRAOEUF/AES
'like': HRAOEUBG
'that,': THARBGS
'it': T
'seems.': SAOEPLS/TP-PL
'Five': KPA/TPAOEUF
'faces': TPAEUFS
'opposite—five': OP/SEUT/EPL/TKA*RB/TPAOEUF
'mature': PHAT/UR
'faces—and': TPAEUFS/EPL/TKA*RB/SKP
'the': -T
'knowledge': TPHOPBLG
'in': TPH
'each': AOEFP
'face.': TPAEUS/TP-PL
'Strange,': KPA/STRAEUPBG/KW-BG
'though,': THOE/KW-BG
'how': HOU
'people': PAOEPL
'want': WAPBT
'to': TO
'conceal': KAUPB/SAOEL
'it!': T/SKHRAPL
'Marks': KPA/PHARBGS
'of': -F
'reticence': RET/SEPBS
'are': R
'on': OPB
'all': AUL
'those': THOZ
'faces:': TPAEUFS/STPH-FPLT
'lips': HREUPS
'shut,': SHUT/KW-BG
'eyes': AO*EUS
'shaded,': SHAEUD/-D/KW-BG
'each': AOEFP
'one': WUPB
'of': -F
'the': -T
'five': TPAOEUF
'doing': TK*G
'something': S-G
'to': TO
'hide': HAOEUD
'or': OR
'stultify': STULT/TPAOEU
'his': HEUS
'knowledge.': TPHOPBLG/TP-PL
'One': KPA/WUPB
'smokes;': SPHOEBGS/STPH*FPLT
'another': TPHOER
'reads;': RAEDZ/STPH*FPLT
'a': AEU
'third': THEURD
'checks': KHEBGS
'entries': SPWREUS
'in': TPH
'a': AEU
'pocket': POBGT
'book;': PWAOBG/STPH*FPLT
'a': AEU
'fourth': TPO*URT
'stares': STAERS
'at': AT
'the': -T
'map': PHAP
'of': -F
'the': -T
'line': HRAOEUPB
'framed': TPRAEUPLD
'opposite;': OP/SEUT/STPH*FPLT
'and': SKP
'the': -T
'fifth—the': TP*EUT/EPL/TKA*RB/-T
'terrible': TERBL
'thing': THEUPBG
'about': PW
'the': -T
'fifth': TP*EUT
'is': S
'that': THA
'she': SHE
'does': TKOS
'nothing': TPHOG
'at': AT
'all.': AUL/TP-PL
'She': KPA/SHE
'looks': HRAOBGS
'at': AT
'life.': HRAOEUF/TP-PL
'Ah,': KPA/AERBGS
'but': PWUT
'my': PHEU
'poor,': PAOR/KW-BG
'unfortunate': TPHORPBT
'woman,': WOPL/KW-BG
'do': TKO
'play': PHRAEU
'the': -T
'game—do,': TKPWAEUPL/EPL/TKA*RB/TKORBGS
'for': TPOR
'all': AUL
'our': OUR
'sakes,': SAEUBGS/KW-BG
'conceal': KAUPB/SAOEL
'it!': T/SKHRAPL
'As': KPA/AS
'if': TP
'she': SHE
