Blue and Green

'Green.': KPA/TKPWRAOEPB/TP-PL
'The': KPA/-T
'pointed': POEUPBTD
'fingers': TPEURPBGS
'of': -F
'glass': TKPWHRAS
'hang': HAPBG
'downwards.': TKOUPB/WARDZ/TP-PL
'The': KPA/-T
'light': HRAOEUT
'slides': SHRAOEUDZ
'down': TKOUPB
'the': -T
'glass,': TKPWHRARBGS
'and': SKP
'drops': TKROPS
'a': AEU
'pool': PAOL
'of': -F
'green.': TKPWRAOEPB/TP-PL
'All': KPA/AUL
'day': TKAEU
'long': HROPBG
'the': -T
'ten': TEPB
'fingers': TPEURPBGS
'of': -F
'the': -T
'lustre': HRUFRT/A*U
'drop': TKROP
'green': TKPWRAOEPB
'upon': POPB
'the': -T
'marble.': PHAERBL/TP-PL
'The': KPA/-T
'feathers': TP*ET/ERS
'of': -F
'parakeets—': PA*R/KAOET/-S/EPL/TKA*RB
'their': THAEUR
'harsh': HAFRB
'cries—': KRAOEUS/EPL/TKA*RB
'sharp': SHARP
'blades': PWHRAEUDZ
'of': -F
'palm': PAPL
'trees—': TRAOES/EPL/TKA*RB
'green,': TKPWRAOEPB/KW-BG
'too;': TAO/STPH*FPLT
'green': TKPWRAOEPB
'needles': TPHAO*ELDZ
'glittering': TKPWHREUT/ERG
'in': TPH
'the': -T
'sun.': SUPB/TP-PL
'But': KPA/PWUT
'the': -T
'hard': HARD
'glass': TKPWHRAS
'drips': TKREUPS
'on': OPB
'to': TO
'the': -T
'marble;': PHAERBL/STPH*FPLT
'the': -T
'pools': PAOLS
'hover': HOFR
'above': PWOF
'the': -T
'dessert': STKERT
'sand;': SAPBD/STPH*FPLT
'the': -T
'camels': KAPL/EL/-S
'lurch': HRUFRPB
'through': THRU
'them;': THEPL/STPH*FPLT
'the': -T
'pools': PAOLS
'settle': SELT
'on': OPB
'the': -T
'marble;': PHAERBL/STPH*FPLT
'rushes': RURBS
'edge': EPBLG
'them;': THEPL/STPH*FPLT
'weeds': WAOEDZ
'clog': KHROG
'them;': THEPL/STPH*FPLT
'here': HAOER
'and': SKP
'there': THR
'a': AEU
'white': WHAOEUT
'blossom;': PWHROFPL/STPH*FPLT
'the': -T
'frog': TPROG
'flops': TPHROPS
'over;': OEFR/STPH*FPLT
'at': AT
'night': TPHAOEUT
'the': -T
'stars': STARS
'are': R
'set': SET
'there': THR
'unbroken.': UPB/PWROEPB/TP-PL
'Evening': KPA/AOEPBG
'comes,': KOPLS/KW-BG
'and': SKP
'the': -T
'shadow': SHOEUD
'sweeps': SWAOEPS
'the': -T
'green': TKPWRAOEPB
'over': OEFR
'the': -T
'mantelpiece;': PHAPBT/-L/PAOES/STPH*FPLT
'the': -T
'ruffled': R*UFL/-D
'surface': SUFS
'of': -F
'ocean.': OEGS/TP-PL
'No': KPA/TPHO
'ships': SHEUPS
'come;': KOPL/STPH*FPLT
'the': -T
'aimless': AEUPL/-LS
'waves': WAFS
'sway': SWAEU
'beneath': TPHAO*ET
'the': -T
'empty': EPLT
'sky.': SKAOEU/TP-PL
'It's': KPA/T-S
'night;': TPHAOEUT/STPH*FPLT
'the': -T
'needles': TPHAO*ELDZ
'drip': TKREUP
'blots': PWHROT/-S
'of': -F
'blue.': PWHRU/TP-PL
'The': KPA/-T
'green's': TKPWRAOEPB/AES
'out.': OUT/TP-PL
'Blue.': KPA/PWHRU/TP-PL
'The': KPA/-T
'snub-nosed': STPHUB/TPHOES/-D
'monster': PHOPB/STER
'rises': RAOEUZ/-Z
'to': TO
'the': -T
'surface': SUFS
'and': SKP
'spouts': SPOUTS
'through': THRU
'his': HEUS
'blunt': PWHRUPBT
'nostrils': TPHOS/TREULS
'two': TWO
'columns': KHRUPLS
