Kew Gardens

'From': KPA/TPR
'the': -T
'oval-shaped': OEFL/SHA*EUPD
'flower-bed': TPHRO*UR/PW*ED
'there': THR
'rose': ROEZ
'perhaps': PRAPS
'a': AEU
'hundred': HUPBD
'stalks': STAUBGS
'spreading': SPREGD
'into': TPHAO
'heart-shaped': HART/SHA*EUPD
'or': OR
'tongue-shaped': TUPBG/SHA*EUPD
'leaves': HREFS
'half': HAF
'way': WAEU
'up': UP
'and': SKP
'unfurling': UPB/TPUR/*LG
'at': AT
'the': -T
'tip': TEUP
'red': RED
'or': OR
'blue': PWHRU
'or': OR
'yellow': KWREL/OE
'petals': PET/TALS
'marked': PHARBGD
'with': W
'spots': SPOTS
'of': -F
'colour': KHROUR
'raised': RA*EUFD
'upon': POPB
'the': -T
'surface;': SUFS/STPH*FPLT
'and': SKP
'from': TPR
'the': -T
'red,': RED/KW-BG
'blue': PWHRU
'or': OR
'yellow': KWREL/OE
'gloom': TKPWHRAOPL
'of': -F
'the': -T
'throat': THROET
'emerged': AOE/PHERPBLGD
'a': AEU
'straight': STRAEUT
'bar,': PWAR/KW-BG
'rough': RUF
'with': W
'gold': TKPWOELD
'dust': TKUFT
'and': SKP
'slightly': SHRAOEULT
'clubbed': KR*/HR*/*U/PW*/PW*/-D
'at': AT
'the': -T
'end.': EPBD/TP-PL
'The': KPA/-T
'petals': PET/TALS
'were': WR
'voluminous': SROL/TPHOUS
'enough': TPHUF
'to': TO
'be': -B
'stirred': STEURD
'by': PWEU
'the': -T
'summer': SAOURPL
'breeze,': PWRAOEZ/KW-BG
'and': SKP
'when': WHEPB
'they': THE
'moved,': PHOFD/KW-BG
'the': -T
'red,': RED/KW-BG
'blue': PWHRU
'and': SKP
'yellow': KWREL/OE
'lights': HRAOEUTS
'passed': PAFD
'one': WUPB
'over': OEFR
'the': -T
'other,': OER/KW-BG
'staining': STAEUPBG
'an': APB
'inch': TPH-FP
'of': -F
'the': -T
'brown': PWROUPB
'earth': *ERT
'beneath': TPHAO*ET
'with': W
'a': AEU
'spot': SPOT
'of': -F
'the': -T
'most': PHOFT
'intricate': EUPBT/KAT
'colour.': KHROUR/TP-PL
'The': KPA/-T
'light': HRAOEUT
'fell': TPEL
'either': AOERT
'upon': POPB
'the': -T
'smooth,': SPHAO*T/KW-BG
'grey': TKPWRA*EU
'back': PWABG
'of': -F
'a': AEU
'pebble,': PEBL/KW-BG
'or,': OR/KW-BG
'the': -T
'shell': SHEL
'of': -F
'a': AEU
'snail': STPHAEUL
'with': W
'its': EUTS
'brown,': PWROUPB/KW-BG
'circular': SEURBG/HRAR
'veins,': SRAEUPBS/KW-BG
'or': OR
'falling': TPAULG
'into': TPHAO
'a': AEU
'raindrop,': RAEUPB/TKROP/KW-BG
'it': T
'expanded': EBGS/PAPBD/-D
'with': W
'such': SUFP
'intensity': SPWEPBS/TEU
'of': -F
'red,': RED/KW-BG
'blue': PWHRU
'and': SKP
'yellow': KWREL/OE
'the': -T
'thin': THEUPB
'walls': WAULS
'of': -F
'water': WAUR
'that': THA
'one': WUPB
'expected': KP-PTD
'them': THEPL
'to': TO
'burst': PWUFRT
'and': SKP
'disappear.': TKEUS/PAOER/TP-PL
'Instead,': KPA/STPHED/KW-BG
'the': -T
'drop': TKROP
'was': WAS
'left': HREFT
'in': TPH
'a': AEU
'second': SEBGD
'silver': SEUL/SRER
'grey': TKPWRA*EU
'once': WUPBS
'more,': PHOR/KW-BG
'and': SKP
'the': -T
'light': HRAOEUT
'now': TPHOU
'settled': SELTD
'upon': POPB
'the': -T
'flesh': TPHRERB
'of': -F
'a': AEU
'leaf,': HRAOEF/KW-BG
'revealing': RAOE/SRAOELG
'the': -T
'branching': PWRAPB/-FPG
'thread': THRED
'of': -F
'fibre': TPAOEURB/A*U
'beneath': TPHAO*ET
'the': -T
'surface,': SUFS/KW-BG
'and': SKP
'again': TKPWEPB
'it': T
'moved': PHOFD
'on': OPB
'and': SKP
'spread': SPRED
'its': EUTS
'illumination': HRUPL/TPHAEUGS
'in': TPH
'the': -T
'vast': SRAFT
'green': TKPWRAOEPB
'spaces': SPAEUFS
'beneath': TPHAO*ET
'the': -T
'dome': TKOEPL
'of': -F
'the': -T
'heart-shaped': HART/SHA*EUPD
'and': SKP
'tongue-shaped': TUPBG/SHA*EUPD
'leaves.': HREFS/TP-PL
'Then': KPA/THEPB
'the': -T
'breeze': PWRAOEZ
'stirred': STEURD
'rather': RAER
'more': PHOR
'briskly': PWREUS/KHREU
'overhead': AUFR/HED
'and': SKP
'the': -T
'colour': KHROUR
'was': WAS
'flashed': TPHRARBD
'into': TPHAO
'the': -T
'air': AEUR
'above,': PWOF/KW-BG
'into': TPHAO
'the': -T
'eyes': AO*EUS
'of': -F
'the': -T
'men': PHEPB
'and': SKP
'women': WEUPL
'who': WHO
'walk': WAUBG
'in': TPH
'Kew': K*P/*E/W*
'Gardens': KPA/TKPWARD/-PBS
'in': TPH
'July.': SKWRUL/TP-PL
