The Mark on the Wall

'Perhaps': KPA/PRAPS
'it': T
'was': WAS
'the': -T
'middle': PH*EULD
'of': -F
'January': SKWRAPB
'in': TPH
'the': -T
'present': PREPBT
'year': KWRAOER
'that': THA
'I': EU
'first': TPEUFRT
'looked': HRAOBGD
'up': UP
'and': SKP
'saw': SAU
'the': -T
'mark': PHARBG
'on': OPB
'the': -T
'wall.': WAUL/TP-PL
'In': KPA/TPH
'order': ORD
'to': TO
'fix': TPEUBGS
'a': AEU
'date': TKAEUT
'it': T
'is': S
'necessary': TPHES
'to': TO
'remember': RER
'what': WHA
'one': WUPB
'saw.': SAU/TP-PL
'So': KPA/SO
'now': TPHOU
'I': EU
'think': THEU
'of': -F
'the': -T
'fire;': TPAOEUR/STPH*FPLT
'the': -T
'steady': STAED
'film': TPEUPL
'of': -F
'yellow': KWREL/OE
'light': HRAOEUT
'upon': POPB
'the': -T
'page': PAEUPBLG
'of': -F
'my': PHEU
'book;': PWAOBG/STPH*FPLT
'the': -T
'three': THRAOE
'chrysanthemums': KREUS/A*PBT/PHUPL/-S
'in': TPH
'the': -T
'round': ROUPBD
'glass': TKPWHRAS
'bowl': PWOEL
'on': OPB
'the': -T
'mantelpiece.': PHAPBT/-L/PAOES/TP-PL
'Yes,': KPA/KWRE/KW-BG
'it': T
'must': PHUFT
'have': SR
'been': PW-PB
'the': -T
'winter': WEURPBT
'time,': TAOEUPL/KW-BG
'and': SKP
'we': WE
'had': H
'just': SKWRUFT
'finished': TP*EURBD
'our': OUR
'tea,': TAE/KW-BG
'for': TPOR
'I': EU
'remember': RER
'that': THA
'I': EU
'was': WAS
'smoking': SPHOEG
'a': AEU
'cigarette': STKPWRET
'when': WHEPB
'I': EU
'looked': HRAOBGD
'up': UP
'and': SKP
'saw': SAU
'the': -T
'mark': PHARBG
'on': OPB
'the': -T
'wall': WAUL
'for': TPOR
'the': -T
'first': TPEUFRT
'time.': TAOEUPL/TP-PL
'I': EU
'looked': HRAOBGD
'up': UP
'through': THRU
'the': -T
'smoke': SPHOEBG
'of': -F
'my': PHEU
'cigarette': STKPWRET
'and': SKP
'my': PHEU
